symbol,date,today_close,next_open,consolidation_avg,consolidation_avg_vol,horizon_complete_30,max_high_30,close_30,hit_tp1.5_30,days_to_tp1.5_30,hit_tp2.0_30,days_to_tp2.0_30,hit_tp2.4_30,days_to_tp2.4_30,hit_tp3.0_30,days_to_tp3.0_30,hit_tp5.0_30,days_to_tp5.0_30,horizon_complete_60,max_high_60,close_60,hit_tp1.5_60,days_to_tp1.5_60,hit_tp2.0_60,days_to_tp2.0_60,hit_tp2.4_60,days_to_tp2.4_60,hit_tp3.0_60,days_to_tp3.0_60,hit_tp5.0_60,days_to_tp5.0_60,horizon_complete_90,max_high_90,close_90,hit_tp1.5_90,days_to_tp1.5_90,hit_tp2.0_90,days_to_tp2.0_90,hit_tp2.4_90,days_to_tp2.4_90,hit_tp3.0_90,days_to_tp3.0_90,hit_tp5.0_90,days_to_tp5.0_90,horizon_complete_180,max_high_180,close_180,hit_tp1.5_180,days_to_tp1.5_180,hit_tp2.0_180,days_to_tp2.0_180,hit_tp2.4_180,days_to_tp2.4_180,hit_tp3.0_180,days_to_tp3.0_180,hit_tp5.0_180,days_to_tp5.0_180
ANNAW,2026-03-30,1.05,1.25,0.2593983166666667,122062.63333333333,1,1.28,0.36,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,
GGRP,2024-12-10,1.14,1.15,0.7070758500000002,121328.01666666666,1,7.0,1.7,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.32,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.15,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.47,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0
FLDDW,2025-02-19,1.0601,1.25,0.37784333333333325,112518.9,1,1.25,0.7101,0,,0,,0,,0,,0,,1,1.25,0.6,0,,0,,0,,0,,0,,1,1.25,0.7599,0,,0,,0,,0,,0,,1,1.25,0.305,0,,0,,0,,0,,0,
ATER,2026-04-28,1.11,1.03,0.62544085,52499.96666666667,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,
ATYR,2026-02-19,1.05,1.05,0.7785083333333334,2215081.55,1,1.1,0.8469,0,,0,,0,,0,,0,,1,1.1,0.504,0,,0,,0,,0,,0,,0,1.1,0.47,0,,0,,0,,0,,0,,0,1.1,0.47,0,,0,,0,,0,,0,
AACG,2025-07-21,1.15,1.18,0.8784157499999999,15111.933333333332,1,2.3,2.085,1,7.0,1,8.0,0,,0,,0,,1,2.5794,1.17,1,7.0,1,8.0,1,40.0,0,,0,,1,2.5794,1.21,1,7.0,1,8.0,1,40.0,0,,0,,1,2.5794,1.01,1,7.0,1,8.0,1,40.0,0,,0,
FMSTW,2025-10-24,1.07,1.15,0.4645835833333333,12572.816666666668,1,1.27,1.19,0,,0,,0,,0,,0,,1,1.27,0.868,0,,0,,0,,0,,0,,1,1.27,0.83,0,,0,,0,,0,,0,,0,1.27,0.704249,0,,0,,0,,0,,0,
DVLT,2025-09-26,1.09,1.34,0.5084916666666667,28531403.383333333,1,4.1,1.69,1,4.0,1,6.0,1,7.0,1,7.0,0,,1,4.1,0.9535,1,4.0,1,6.0,1,7.0,1,7.0,0,,1,4.1,0.6399,1,4.0,1,6.0,1,7.0,1,7.0,0,,0,4.1,0.4294,1,4.0,1,6.0,1,7.0,1,7.0,0,
BFRG,2026-03-30,1.05,1.19,0.6322316666666665,678774.6,1,1.96,0.6206,1,1.0,0,,0,,0,,0,,0,1.96,0.671,1,1.0,0,,0,,0,,0,,0,1.96,0.671,1,1.0,0,,0,,0,,0,,0,1.96,0.671,1,1.0,0,,0,,0,,0,
BFRI,2025-07-23,1.08,1.08,0.6979058333333334,193806.41666666666,1,1.17,0.8389,0,,0,,0,,0,,0,,1,1.17,0.99,0,,0,,0,,0,,0,,1,1.19,0.8169,0,,0,,0,,0,,0,,1,1.19,1.03,0,,0,,0,,0,,0,
