month,symbol,date,rule,ret,tp_hit
2020-06,KOSS,2020-06-16,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.061649999999999996,False
2020-06,MATH,2020-06-12,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-06,PPSI,2020-06-30,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-06,MVIS,2020-06-22,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-06,KOPN,2020-06-09,30d/sub$1.5/$1.50-$2.00/+50%/90d,-0.14422360248447216,False
2020-06,MREO,2020-06-02,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-06,SND,2020-06-08,30d/sub$1.5/$1.50-$2.00/+50%/90d,-0.1718987341772152,False
2020-07,AACG,2020-07-14,30d/sub$1.5/$1.50-$2.00/+50%/90d,-0.2904402515723271,False
2020-07,ALTO,2020-07-29,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-07,AREC,2020-07-06,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-07,INOD,2020-07-14,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-07,MARA,2020-07-28,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-08,GTIM,2020-08-19,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-08,GEVO,2020-08-20,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-08,AMTX,2020-08-05,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-08,SND,2020-08-13,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-09,APWC,2020-09-25,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-09,AREC,2020-09-17,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-09,REAX,2020-09-01,30d/sub$1.5/$1.50-$2.00/+50%/90d,-0.46193548387096783,False
2020-09,IMMP,2020-09-10,30d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2020-10,DWSN,2020-10-06,30d/sub$2.0/$2.00-$2.50/+50%/90d,0.48,True
2020-10,ONCY,2020-10-12,30d/sub$2.0/$2.00-$2.50/+50%/90d,0.48,True
2020-11,CPSH,2020-11-20,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-11,CLWT,2020-11-24,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-11,GEVO,2020-11-23,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-11,AREC,2020-11-24,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
