cons_d,entry_range,tp_ratio,sl_pct,hold,n,win_rate,mean,median,sum,p10,p25,p90,max_loss
30,$1.05-$1.10,1.2,none,30,60,0.6833333333333333,0.04076552441622512,0.17999999999999997,2.445931464973507,-0.2595801886792453,-0.058658763168567093,0.17999999999999997,-0.6165925925925926
30,$1.05-$1.10,1.2,none,60,60,0.7166666666666667,0.0438287082164432,0.17999999999999997,2.6297224929865917,-0.30201570904123626,-0.03330532212885155,0.17999999999999997,-0.7355555555555555
30,$1.05-$1.10,1.2,none,90,60,0.7333333333333333,0.049859652973092874,0.17999999999999997,2.9915791783855723,-0.2700801886792454,-0.00816526610644262,0.17999999999999997,-0.8252592592592592
30,$1.05-$1.10,1.2,none,180,60,0.75,0.05375117969966863,0.17999999999999997,3.225070781980118,-0.2691709958541331,0.022261904761904778,0.17999999999999997,-0.9022222222222223
30,$1.05-$1.10,1.2,-30%,30,60,0.6833333333333333,0.05670373999978598,0.17999999999999997,3.402224399987159,-0.32,-0.058658763168567093,0.17999999999999997,-0.32
30,$1.05-$1.10,1.2,-30%,60,60,0.7166666666666667,0.06401141556141637,0.17999999999999997,3.8406849336849826,-0.32,-0.03330532212885155,0.17999999999999997,-0.32
30,$1.05-$1.10,1.2,-30%,90,60,0.7333333333333333,0.06491357878658846,0.17999999999999997,3.8948147271953073,-0.32,-0.00816526610644262,0.17999999999999997,-0.32
30,$1.05-$1.10,1.2,-30%,180,60,0.7333333333333333,0.06491357878658846,0.17999999999999997,3.8948147271953073,-0.32,-0.00816526610644262,0.17999999999999997,-0.32
30,$1.05-$1.10,1.2,-20%,30,60,0.5833333333333334,0.02456306392326403,0.17999999999999997,1.473783835395842,-0.22,-0.22,0.17999999999999997,-0.22
30,$1.05-$1.10,1.2,-20%,60,60,0.6,0.02865546631632002,0.17999999999999997,1.719327978979201,-0.22,-0.22,0.17999999999999997,-0.22
30,$1.05-$1.10,1.2,-20%,90,60,0.6,0.02865546631632002,0.17999999999999997,1.719327978979201,-0.22,-0.22,0.17999999999999997,-0.22
30,$1.05-$1.10,1.2,-20%,180,60,0.6,0.02865546631632002,0.17999999999999997,1.719327978979201,-0.22,-0.22,0.17999999999999997,-0.22
30,$1.05-$1.10,1.2,-15%,30,60,0.48333333333333334,0.004652198342463815,-0.022380952380952487,0.2791319005478289,-0.16999999999999998,-0.16999999999999998,0.17999999999999997,-0.16999999999999998
30,$1.05-$1.10,1.2,-15%,60,60,0.48333333333333334,0.004652198342463815,-0.022380952380952487,0.2791319005478289,-0.16999999999999998,-0.16999999999999998,0.17999999999999997,-0.16999999999999998
30,$1.05-$1.10,1.2,-15%,90,60,0.48333333333333334,0.004652198342463815,-0.022380952380952487,0.2791319005478289,-0.16999999999999998,-0.16999999999999998,0.17999999999999997,-0.16999999999999998
30,$1.05-$1.10,1.2,-15%,180,60,0.48333333333333334,0.004652198342463815,-0.022380952380952487,0.2791319005478289,-0.16999999999999998,-0.16999999999999998,0.17999999999999997,-0.16999999999999998
30,$1.05-$1.10,1.2,-10%,30,60,0.4,0.0012698412698412469,-0.12000000000000001,0.07619047619047481,-0.12000000000000001,-0.12000000000000001,0.17999999999999997,-0.12000000000000001
30,$1.05-$1.10,1.2,-10%,60,60,0.4,0.0012698412698412469,-0.12000000000000001,0.07619047619047481,-0.12000000000000001,-0.12000000000000001,0.17999999999999997,-0.12000000000000001
30,$1.05-$1.10,1.2,-10%,90,60,0.4,0.0012698412698412469,-0.12000000000000001,0.07619047619047481,-0.12000000000000001,-0.12000000000000001,0.17999999999999997,-0.12000000000000001
30,$1.05-$1.10,1.2,-10%,180,60,0.4,0.0012698412698412469,-0.12000000000000001,0.07619047619047481,-0.12000000000000001,-0.12000000000000001,0.17999999999999997,-0.12000000000000001
30,$1.05-$1.10,1.3,none,30,60,0.6166666666666667,0.0708460049229853,0.28,4.250760295379118,-0.33917972731028784,-0.14087594231399533,0.28,-0.6165925925925926
30,$1.05-$1.10,1.3,none,60,60,0.6666666666666666,0.08275317183068788,0.28,4.965190309841272,-0.34409669811320753,-0.10219696969696977,0.28,-0.7355555555555555
