scenario,win_rate,mean_per_trade,median_per_trade,std,sharpe_ann,compounded_$1_to
optimistic (1%),0.21703853955375255,-0.028200231427990937,-0.060000000000000005,0.06056415146296652,-7.391580412239859,3.036839960200727e-07
realistic (3%),0.21703853955375255,-0.04820023142799093,-0.08,0.060564151462966516,-12.633793002667849,1.0322658500592737e-11
pessimistic (5%),0.20081135902636918,-0.06820023142799093,-0.1,0.060564151462966516,-17.87600559309584,2.815614824327028e-16
