month,ret
2024-05,0.08000000000000008
2024-06,0.08000000000000008
2024-07,0.08000000000000008
2024-07,0.08000000000000008
2024-09,0.08000000000000008
2024-09,-0.23288288288288292
2024-09,0.08000000000000008
2024-10,0.08000000000000008
2024-10,0.08000000000000008
2024-10,0.08000000000000008
2024-10,0.08000000000000008
2024-10,0.08000000000000008
2024-10,0.08000000000000008
2024-10,0.08000000000000008
2024-11,0.48
2024-11,-0.12015384615384626
2024-12,0.17999999999999997
2024-12,0.17999999999999997
2024-12,0.17999999999999997
2024-12,0.17999999999999997
2024-12,0.17999999999999997
2024-12,0.17999999999999997
2025-02,0.17999999999999997
2025-02,0.17999999999999997
2025-02,0.17999999999999997
2025-02,0.17999999999999997
2025-03,0.48
2025-04,-0.021452432824981753
2025-04,0.0955378486055778
2025-04,0.48
2025-04,0.48
2025-05,0.48
2025-05,0.48
2025-05,0.48
2025-05,0.48
2025-06,-0.5660000000000001
2025-06,0.48
2025-06,0.48
2025-06,0.48
2025-06,0.48
2025-07,0.48
2025-07,-0.26361111111111124
2025-07,0.48
2025-07,0.48
2025-07,0.48
2025-07,0.48
2025-08,0.48
2025-08,0.48
2025-08,0.48
2025-08,0.48
2025-08,0.48
2025-08,0.48
2025-08,0.48
2025-08,0.48
2025-08,0.48
2025-09,-0.27205357142857156
2025-09,-0.5948672566371681
2025-09,0.48
2025-09,0.48
2025-10,0.28
2025-11,0.28
2025-12,0.12999999999999992
2025-12,0.12999999999999992
2026-01,-0.6243801652892562
2026-01,0.08000000000000008
2026-01,0.08000000000000008
2026-01,-0.4717307692307692
2026-05,0.08000000000000008
2026-05,0.08000000000000008
2026-05,0.08000000000000008
