minutes_to_trigger,pre_volume,pre_dollar_volume,vol_last5,dvol_last5,vol_acceleration,pre_bars_count,red_ratio,max_pullback_pct,return_std,return_last5,return_earlier,acceleration,first_bar_close_vs_open,vwap,price_above_vwap_pct,bars_since_high,rth_open_price,pre_high_x_open,symbol,date,minute_return,exit_reason,is_winner
267,31675770.0,67905624.1371,3438161.0,9292357.049800001,6.380130711491897,267,0.4044943820224719,-0.12608695652173915,0.014696971433695931,0.09929824561403522,0.8063380281690142,-0.707039782554979,-0.01388888888888895,2.139840415165914,0.3177150875437469,0,1.44,1.965277777777778,QUBT,2024-11-13,0.1,tp,1
249,158636096.0,487822589.1406,4644183.0,19816407.3045,1.4717404699037668,249,0.46586345381526106,-0.19095477386934667,0.021238756911653972,0.09068627450980404,0.8297605166382636,-0.7390742421284595,-0.00455357142857149,3.0704637901084424,0.44929245358169023,0,2.24,1.995535714285714,SIDU,2024-12-16,0.1,tp,1
63,77016914.65558401,189485691.76799786,14323880.414122,47544257.422191314,2.6503265444748147,63,0.3492063492063492,-0.2418604651162791,0.03604848625987294,0.2456912733353811,0.44496498668507733,-0.19927371334969624,0.06726315789473691,2.4501405961945446,0.4897104295439316,0,1.9,1.9894736842105263,QUCY,2026-05-14,-0.0499999999999999,sl,0
44,12937429.117236998,43331339.93659653,5225395.103303,21250983.536024936,5.284997671447279,44,0.38636363636363635,-0.13399503722084366,0.04238276472875087,0.5282714054927302,0.218072336573655,0.3101990689190752,0.032466477041853015,3.2849931804897485,0.4398812235265648,0,2.461,1.9219829337667618,QUCY,2026-05-15,-0.05,sl,0
217,54323454.324578,242782603.95263627,6037262.452607,42005875.31089685,5.301307021047712,217,0.46543778801843316,-0.31368421052631584,0.02855568974291506,0.3850174216027875,0.3318174435601755,0.053199978042612006,-0.017126567844925833,4.444692755715342,0.7886500680563924,0,4.385,1.9384264538198404,AIIO,2026-05-14,-0.0500000000000001,sl,0
260,47548061.0,308432988.9396,1070500.0,8615450.807,1.1746636188590016,260,0.4,-0.1444444444444445,0.018272960259235423,0.043144992979926355,0.8307051059395623,-0.7875601129596359,0.03810096153846154,6.475946714169901,0.27348175703096644,0,4.16,1.9927884615384612,LASE,2024-10-08,0.1,tp,1
314,176849730.307777,313503011.2313289,5848740.997425001,13637823.764526615,2.1137432894312713,314,0.4299363057324841,-0.22803631738234134,0.01617303109691827,0.040000000000000036,0.9140950792326938,-0.8740950792326938,-0.004979253112033177,1.7705660942355352,0.3480434352441002,0,1.205,1.983402489626556,LASE,2026-06-02,-0.0500000000000001,sl,0
42,21299567.749679,33488280.104794335,6502735.544204,11839653.39834428,3.2520638444020844,42,0.30952380952380953,-0.1503267973856209,0.03234000086305199,0.2018538846200757,0.4576,-0.2557461153799243,0.08173076923076916,1.5594031792027656,0.2638168411376194,0,1.04,1.923076923076923,HCWB,2026-05-20,-0.05,sl,0
112,4295993.500003,53137038.06484075,236960.16666599998,3139170.72729121,1.2492993159244365,112,0.41964285714285715,-0.23076923076923067,0.032267492071031766,-0.009000409109504948,0.6793129770992368,-0.6883133862087417,0.0,12.357809191494994,0.058488587847953966,21,7.86,1.8319847328244274,AEHL,2025-11-24,-0.05,sl,0
164,19537782.511965,113414968.637653,739958.547021,5709264.393184951,1.2517768992384486,164,0.4634146341463415,-0.18607476635514025,0.030580596729769396,0.17647058823529416,0.6400220507166481,-0.4635514624813539,-0.014264366254584937,5.791846276563993,0.4503147353875028,0,4.4166,1.9019155006113302,AEHL,2026-02-26,-0.05,sl,0
122,23852589.529825002,46014199.45008738,1467803.007426,3124095.477933839,1.5343720316206726,122,0.4180327868852459,-0.19246861924686198,0.028400279461962274,0.09158415841584167,0.6209276199646927,-0.529343461548851,0.017306122448979444,1.9301298627157646,0.14241017798537303,26,1.225,1.9510204081632652,AEHL,2026-05-12,-0.05,sl,0
