symbol,date,today_close,next_open,consolidation_avg,horizon_complete_30,max_high_30,min_low_30,close_30,hit_tp2.0_30,days_to_tp2.0_30,hit_tp2.4_30,days_to_tp2.4_30,hit_tp3.0_30,days_to_tp3.0_30,hit_tp5.0_30,days_to_tp5.0_30,horizon_complete_60,max_high_60,min_low_60,close_60,hit_tp2.0_60,days_to_tp2.0_60,hit_tp2.4_60,days_to_tp2.4_60,hit_tp3.0_60,days_to_tp3.0_60,hit_tp5.0_60,days_to_tp5.0_60,horizon_complete_90,max_high_90,min_low_90,close_90,hit_tp2.0_90,days_to_tp2.0_90,hit_tp2.4_90,days_to_tp2.4_90,hit_tp3.0_90,days_to_tp3.0_90,hit_tp5.0_90,days_to_tp5.0_90,horizon_complete_180,max_high_180,min_low_180,close_180,hit_tp2.0_180,days_to_tp2.0_180,hit_tp2.4_180,days_to_tp2.4_180,hit_tp3.0_180,days_to_tp3.0_180,hit_tp5.0_180,days_to_tp5.0_180,horizon_complete_365,max_high_365,min_low_365,close_365,hit_tp2.0_365,days_to_tp2.0_365,hit_tp2.4_365,days_to_tp2.4_365,hit_tp3.0_365,days_to_tp3.0_365,hit_tp5.0_365,days_to_tp5.0_365,year
AREC,2024-10-09,1.0800000429153442,1.100000023841858,0.6215500041842461,1,1.2699999809265137,0.8399999737739563,1.059999942779541,0,,0,,0,,0,,1,1.340000033378601,0.6499999761581421,0.7850000262260437,0,,0,,0,,0,,1,1.340000033378601,0.5609999895095825,0.5740000009536743,0,,0,,0,,0,,1,1.6799999475479126,0.3799999952316284,0.781000018119812,0,,0,,0,,0,,1,7.110000133514404,0.3799999952316284,2.440000057220459,1,218.0,1,220.0,1,237.0,1,252.0,2024
AREC,2025-04-16,1.1100000143051147,1.2549999952316284,0.5717333346605301,1,1.6799999475479126,0.6140000224113464,0.6380000114440918,0,,0,,0,,0,,1,1.6799999475479126,0.6140000224113464,1.399999976158142,0,,0,,0,,0,,1,2.259999990463257,0.6140000224113464,2.0999999046325684,1,89.0,0,,0,,0,,1,7.110000133514404,0.6140000224113464,3.25,1,89.0,1,91.0,1,108.0,1,123.0,0,7.110000133514404,0.6140000224113464,2.109999895095825,1,89.0,1,91.0,1,108.0,1,123.0,2025
CGTX,2025-08-12,1.100000023841858,1.3799999952316284,0.4672833318511645,1,3.8299999237060542,1.1449999809265137,1.350000023841858,1,6.0,1,8.0,1,9.0,0,,1,3.8299999237060542,1.1449999809265137,1.690000057220459,1,6.0,1,8.0,1,9.0,0,,1,3.8299999237060542,1.1449999809265137,1.5,1,6.0,1,8.0,1,9.0,0,,1,3.8299999237060542,0.550000011920929,1.2599999904632568,1,6.0,1,8.0,1,9.0,0,,0,3.8299999237060542,0.550000011920929,1.2899999618530271,1,6.0,1,8.0,1,9.0,0,,2025
CTMX,2025-05-08,1.090000033378601,1.2899999618530271,0.6756000017126401,1,3.0950000286102295,0.9079999923706056,2.1600000858306885,1,2.0,1,3.0,1,24.0,0,,1,3.0950000286102295,0.9079999923706056,2.369999885559082,1,2.0,1,3.0,1,24.0,0,,1,3.0950000286102295,0.9079999923706056,1.9299999475479128,1,2.0,1,3.0,1,24.0,0,,1,6.150000095367432,0.9079999923706056,5.929999828338623,1,2.0,1,3.0,1,24.0,1,174.0,0,8.210000038146973,0.9079999923706056,3.0,1,2.0,1,3.0,1,24.0,1,174.0,2025
EQ,2025-08-15,1.1399999856948853,1.1299999952316284,0.42666666507720946,1,2.3499999046325684,1.0700000524520874,1.4600000381469729,1,5.0,0,,0,,0,,1,2.3499999046325684,0.9300000071525574,0.9700000286102296,1,5.0,0,,0,,0,,1,2.3499999046325684,0.7599999904632568,1.350000023841858,1,5.0,0,,0,,0,,1,2.700000047683716,0.7599999904632568,2.069999933242798,1,5.0,1,144.0,0,,0,,0,3.450000047683716,0.7599999904632568,2.940000057220459,1,5.0,1,144.0,1,196.0,0,,2025
GEVO,2024-09-13,1.1699999570846558,1.25,0.654666668176651,1,3.390000104904175,1.2100000381469729,2.9600000381469727,1,18.0,1,24.0,1,24.0,0,,1,3.390000104904175,1.2100000381469729,1.5,1,18.0,1,24.0,1,24.0,0,,1,3.390000104904175,1.2100000381469729,1.8600000143051147,1,18.0,1,24.0,1,24.0,0,,1,3.390000104904175,0.9200000166893004,1.1399999856948853,1,18.0,1,24.0,1,24.0,0,,1,3.390000104904175,0.9200000166893004,1.899999976158142,1,18.0,1,24.0,1,24.0,0,,2024
HOVR,2024-12-26,1.149999976158142,1.2200000286102295,0.4559166649977366,1,1.6299999952316284,0.5509999990463257,0.5699999928474426,0,,0,,0,,0,,1,1.6299999952316284,0.4059999883174896,0.5799999833106995,0,,0,,0,,0,,1,1.6299999952316284,0.3499999940395355,0.5009999871253967,0,,0,,0,,0,,1,2.5199999809265137,0.3499999940395355,1.7200000286102295,1,115.0,1,119.0,0,,0,,0,4.179999828338623,0.3499999940395355,2.259999990463257,1,115.0,1,119.0,1,193.0,0,,2024
HOVR,2025-05-29,1.100000023841858,1.100000023841858,0.5423666641116143,1,2.5199999809265137,0.8500000238418579,1.590000033378601,1,11.0,1,15.0,0,,0,,1,2.5199999809265137,0.8500000238418579,1.6100000143051147,1,11.0,1,15.0,0,,0,,1,3.0899999141693115,0.8500000238418579,2.9000000953674316,1,11.0,1,15.0,1,89.0,0,,1,4.179999828338623,0.8500000238418579,1.75,1,11.0,1,15.0,1,89.0,0,,0,4.179999828338623,0.8500000238418579,2.259999990463257,1,11.0,1,15.0,1,89.0,0,,2025
IBIO,2025-10-21,1.1100000143051147,1.0299999713897705,0.7876666684945425,1,1.809999942779541,0.959999978542328,1.0399999618530271,0,,0,,0,,0,,1,3.819999933242798,0.959999978542328,2.200000047683716,1,33.0,1,34.0,1,35.0,0,,1,3.819999933242798,0.959999978542328,2.690000057220459,1,33.0,1,34.0,1,35.0,0,,0,3.819999933242798,0.959999978542328,1.8200000524520872,1,33.0,1,34.0,1,35.0,0,,0,3.819999933242798,0.959999978542328,1.8200000524520872,1,33.0,1,34.0,1,35.0,0,,2025
IRWD,2025-08-13,1.090000033378601,1.0800000429153442,0.7221666653951009,1,1.5199999809265137,1.0099999904632568,1.2699999809265137,0,,0,,0,,0,,1,2.2300000190734863,1.0099999904632568,2.049999952316284,1,57.0,0,,0,,0,,1,3.930000066757202,1.0099999904632568,3.130000114440918,1,57.0,1,62.0,1,64.0,0,,1,5.78000020980835,1.0099999904632568,4.440000057220459,1,57.0,1,62.0,1,64.0,1,98.0,0,5.78000020980835,1.0099999904632568,3.309999942779541,1,57.0,1,62.0,1,64.0,1,98.0,2025
