symbol,date,entry,tp_price,tp_hit,days_to_exit,exit_price,ret,current_close,current_ret
BZFD,2026-05-12,1.33,1.5294999999999999,True,3,1.5294999999999999,0.12999999999999992,1.39,0.045112781954887105
QUCY,2026-05-13,1.9,2.1849999999999996,True,1,2.1849999999999996,0.12999999999999992,2.195,0.15526315789473677
HCWB,2026-05-15,1.15,1.3224999999999998,True,1,1.3224999999999998,0.12999999999999992,1.63,0.4173913043478261
RKTO,2026-05-27,2.02,2.323,True,4,2.323,0.12999999999999992,1.51,-0.2524752475247525
TGHL,2026-06-01,0.9687,1.114005,True,1,1.114005,0.12999999999999992,0.599,-0.38164550428409216
NTCL,2026-06-01,1.2,1.38,True,1,1.38,0.12999999999999992,2.13,0.7749999999999999
