month,rule,sub_level,train_n,train_win,test_n,test_win,test_mean,test_sum
2025-03,45d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,67,0.835820895522388,9,1.0,0.08000000000000008,0.7200000000000008
2025-04,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,52,0.8461538461538461,14,1.0,0.08000000000000008,1.1200000000000012
2025-05,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,40,0.875,53,0.9245283018867925,0.041703467235606945,2.210283763487168
2025-06,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,80,0.95,49,0.9387755102040817,0.06015845120834689,2.9477641092089977
2025-07,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,116,0.9396551724137931,63,0.8412698412698413,0.014189370202437357,0.8939303227535534
2025-08,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,165,0.896969696969697,27,0.9629629629629629,0.07064657878217208,1.9074576271186463
2025-09,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,139,0.8992805755395683,55,0.8545454545454545,0.004020608502796592,0.22113346765381253
2025-10,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,145,0.8689655172413793,52,0.7307692307692307,-0.0967831926055133,-5.032726015486691
2025-11,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,134,0.8283582089552238,13,1.0,0.08000000000000008,1.0400000000000011
2025-12,30d/sub$2.0/$2.00-$3.00/+10%/90d,2.0,120,0.8166666666666667,22,0.8181818181818182,-0.029051841436508106,-0.6391405116031783
2026-01,30d/sub$2.0/$2.00-$2.50/+10%/90d,2.0,84,0.8095238095238095,35,0.9142857142857143,0.031116705578315276,1.0890846952410347
2026-02,30d/sub$2.0/$2.00-$3.00/+10%/60d,2.0,72,0.9027777777777778,18,0.8888888888888888,-0.001301824212271897,-0.023432835820894143
2026-03,30d/sub$2.0/$2.00-$3.00/+10%/60d,2.0,77,0.8831168831168831,30,0.8666666666666667,0.024716892848179094,0.7415067854453729
2026-04,30d/sub$2.0/$2.00-$3.00/+10%/60d,2.0,85,0.8941176470588236,26,0.6923076923076923,-0.054359729012378066,-1.4133529543218297
2026-05,30d/sub$2.0/$2.00-$3.00/+10%/60d,2.0,74,0.8108108108108109,39,0.6923076923076923,-0.027706056541444972,-1.0805362051163538
2026-06,30d/sub$1.5/$2.00-$3.00/+10%/30d,1.5,10,0.9,1,1.0,0.08000000000000008,0.08000000000000008
