cons_d,tp,horizon,alloc,n_signals_in_period,n_taken,final,return_pct
30,1.5,30,ALL_IN,94,19,138770.72256294696,-0.861229277437053
30,1.5,30,25%,94,94,2467873.104882934,1.4678731048829343
30,1.5,30,10%,94,94,1746549.8026583584,0.7465498026583584
30,1.5,60,ALL_IN,79,15,283484.0816673498,-0.7165159183326502
30,1.5,60,25%,79,79,2274481.7405542284,1.2744817405542284
30,1.5,60,10%,79,79,1755969.9633870134,0.7559699633870134
30,1.5,90,ALL_IN,73,11,1656664.8699420101,0.6566648699420101
30,1.5,90,25%,73,73,3276874.977571354,2.276874977571354
30,1.5,90,10%,73,73,2107663.691273547,1.107663691273547
30,1.5,180,ALL_IN,48,4,491342.3813116122,-0.5086576186883878
30,1.5,180,25%,48,48,2530800.4078474864,1.5308004078474866
30,1.5,180,10%,48,48,1854676.3677660425,0.8546763677660425
30,2.0,30,ALL_IN,94,20,32042513.889657743,31.04251388965774
30,2.0,30,25%,94,94,3010820.170699194,2.010820170699194
30,2.0,30,10%,94,94,1827084.7789787748,0.8270847789787747
30,2.0,60,ALL_IN,79,9,6661875.213842597,5.661875213842597
30,2.0,60,25%,79,79,3353811.136969313,2.353811136969313
30,2.0,60,10%,79,79,2416315.943604677,1.416315943604677
30,2.0,90,ALL_IN,73,7,2844528.3799513746,1.8445283799513748
30,2.0,90,25%,73,73,3940521.1650619498,2.94052116506195
30,2.0,90,10%,73,73,2752844.3234731313,1.7528443234731315
30,2.0,180,ALL_IN,48,3,3007805.8830701523,2.0078058830701524
30,2.0,180,25%,48,48,2557463.680880655,1.5574636808806552
30,2.0,180,10%,48,48,2250118.2160640536,1.2501182160640534
30,2.4,30,ALL_IN,94,16,255836.55976789803,-0.744163440232102
30,2.4,30,25%,94,94,3289164.2616269616,2.289164261626962
30,2.4,30,10%,94,94,2189592.0024949997,1.1895920024949995
30,2.4,60,ALL_IN,79,9,2081811.0291183395,1.0818110291183394
30,2.4,60,25%,79,79,3346797.0770415603,2.3467970770415603
30,2.4,60,10%,79,79,2740123.6089069126,1.7401236089069125
30,2.4,90,ALL_IN,73,6,2234305.89099501,1.2343058909950098
30,2.4,90,25%,73,73,4246703.8092278205,3.246703809227821
30,2.4,90,10%,73,73,3332167.3009725576,2.3321673009725576
30,2.4,180,ALL_IN,48,3,1768995.196842573,0.7689951968425728
30,2.4,180,25%,48,48,2737729.4652191782,1.7377294652191781
30,2.4,180,10%,48,48,2634345.024176986,1.634345024176986
30,3.0,30,ALL_IN,94,14,5243.308408747713,-0.9947566915912522
30,3.0,30,25%,94,94,2649655.0472432626,1.6496550472432627
30,3.0,30,10%,94,94,1941106.5520600125,0.9411065520600124
30,3.0,60,ALL_IN,79,6,772830.4551669216,-0.22716954483307839
30,3.0,60,25%,79,79,2494947.7349735373,1.4949477349735374
30,3.0,60,10%,79,79,2578323.9262766293,1.5783239262766293
30,3.0,90,ALL_IN,73,6,1431689.4496524958,0.4316894496524959
30,3.0,90,25%,73,73,5537978.414494137,4.5379784144941375
30,3.0,90,10%,73,73,4185267.1356471274,3.185267135647128
30,3.0,180,ALL_IN,48,2,515152.6383526384,-0.48484736164736164
30,3.0,180,25%,48,48,2600111.6829890586,1.6001116829890587
30,3.0,180,10%,48,48,2737336.6477769315,1.7373366477769316
30,5.0,30,ALL_IN,94,13,8930.541963614625,-0.9910694580363854
30,5.0,30,25%,94,94,3121411.105211684,2.121411105211684
30,5.0,30,10%,94,94,2119047.7396785608,1.1190477396785607
30,5.0,60,ALL_IN,79,6,344813.66020011046,-0.6551863397998896
30,5.0,60,25%,79,79,3142466.5342581216,2.1424665342581215
30,5.0,60,10%,79,79,3009551.1156540555,2.0095511156540553
30,5.0,90,ALL_IN,73,4,701256.7792992673,-0.29874322070073267
30,5.0,90,25%,73,73,6608593.844438561,5.608593844438562
30,5.0,90,10%,73,73,4956823.011363804,3.956823011363804
30,5.0,180,ALL_IN,48,2,515152.6383526384,-0.48484736164736164
30,5.0,180,25%,48,48,2593454.935711541,1.593454935711541
30,5.0,180,10%,48,48,2959812.0689984295,1.9598120689984295
45,1.5,30,ALL_IN,81,19,219125.2902605546,-0.7808747097394454
45,1.5,30,25%,81,81,3027151.4003810594,2.0271514003810593
45,1.5,30,10%,81,81,1810205.812062662,0.8102058120626621
45,1.5,60,ALL_IN,70,11,730211.6769422474,-0.2697883230577526
45,1.5,60,25%,70,70,3012320.836362972,2.012320836362972
45,1.5,60,10%,70,70,1885665.3085621495,0.8856653085621495
45,1.5,90,ALL_IN,67,13,3884071.5715706823,2.8840715715706824
45,1.5,90,25%,67,67,3440150.2787756156,2.4401502787756155
45,1.5,90,10%,67,67,2035840.2069641699,1.0358402069641697
45,1.5,180,ALL_IN,42,4,491342.3813116122,-0.5086576186883878
45,1.5,180,25%,42,42,2392107.928611909,1.392107928611909
45,1.5,180,10%,42,42,1701318.0046570557,0.7013180046570557
45,2.0,30,ALL_IN,81,16,5650561.040933727,4.650561040933727
45,2.0,30,25%,81,81,2774971.669076147,1.7749716690761472
45,2.0,30,10%,81,81,1743413.8194670535,0.7434138194670534
45,2.0,60,ALL_IN,70,8,623636.9830800269,-0.3763630169199731
45,2.0,60,25%,70,70,4150010.423115333,3.150010423115333
45,2.0,60,10%,70,70,2593209.1993969865,1.5932091993969864
45,2.0,90,ALL_IN,67,7,2533259.704502692,1.533259704502692
45,2.0,90,25%,67,67,4734845.910159163,3.734845910159163
45,2.0,90,10%,67,67,2804263.4548349893,1.8042634548349894
45,2.0,180,ALL_IN,42,5,9987099.93683729,8.98709993683729
45,2.0,180,25%,42,42,2623616.221786702,1.623616221786702
45,2.0,180,10%,42,42,2126382.772931917,1.1263827729319171
45,2.4,30,ALL_IN,81,13,1487508.8290610886,0.4875088290610887
45,2.4,30,25%,81,81,3126395.434830996,2.126395434830996
45,2.4,30,10%,81,81,2076991.7036744945,1.0769917036744947
45,2.4,60,ALL_IN,70,8,901569.4632244784,-0.0984305367755216
45,2.4,60,25%,70,70,4196874.4392958,3.196874439295801
45,2.4,60,10%,70,70,2883094.141710872,1.8830941417108717
45,2.4,90,ALL_IN,67,7,4402762.630645765,3.402762630645765
45,2.4,90,25%,67,67,5266231.872940946,4.2662318729409465
45,2.4,90,10%,67,67,3412910.9942729436,2.4129109942729436
45,2.4,180,ALL_IN,42,4,9919864.785586951,8.91986478558695
45,2.4,180,25%,42,42,3089696.380295511,2.089696380295511
45,2.4,180,10%,42,42,2559127.052816538,1.559127052816538
45,3.0,30,ALL_IN,81,12,174403.96617137812,-0.8255960338286219
45,3.0,30,25%,81,81,3028210.6666401695,2.0282106666401694
45,3.0,30,10%,81,81,2141074.9636377846,1.1410749636377844
45,3.0,60,ALL_IN,70,7,259481.24020852515,-0.7405187597914749
45,3.0,60,25%,70,70,4450955.254471366,3.450955254471366
45,3.0,60,10%,70,70,3383287.4304750683,2.383287430475068
45,3.0,90,ALL_IN,67,6,1659637.8065057024,0.6596378065057025
45,3.0,90,25%,67,67,6223759.86156687,5.22375986156687
45,3.0,90,10%,67,67,4234996.868204236,3.2349968682042363
45,3.0,180,ALL_IN,42,2,515152.6383526384,-0.48484736164736164
45,3.0,180,25%,42,42,3158756.1832503416,2.1587561832503415
45,3.0,180,10%,42,42,2757545.645607836,1.757545645607836
45,5.0,30,ALL_IN,81,12,174403.96617137812,-0.8255960338286219
45,5.0,30,25%,81,81,3016986.2670303527,2.0169862670303527
45,5.0,30,10%,81,81,2244447.0172588807,1.2444470172588806
45,5.0,60,ALL_IN,70,6,354776.96519904904,-0.6452230348009509
45,5.0,60,25%,70,70,4934719.985072038,3.9347199850720385
45,5.0,60,10%,70,70,3758128.303925752,2.7581283039257523
45,5.0,90,ALL_IN,67,4,498352.65745300223,-0.5016473425469978
45,5.0,90,25%,67,67,7036753.695118787,6.036753695118787
45,5.0,90,10%,67,67,4998799.97102192,3.9987999710219206
45,5.0,180,ALL_IN,42,2,515152.6383526384,-0.48484736164736164
45,5.0,180,25%,42,42,3256743.1854257807,2.2567431854257807
45,5.0,180,10%,42,42,3255298.848419341,2.255298848419341
60,1.5,30,ALL_IN,65,17,1834965.0332187484,0.8349650332187484
60,1.5,30,25%,65,65,2842213.2732877396,1.8422132732877396
60,1.5,30,10%,65,65,1742060.2948030184,0.7420602948030184
60,1.5,60,ALL_IN,57,9,460022.9405413474,-0.5399770594586526
60,1.5,60,25%,57,57,2641226.207892413,1.6412262078924127
60,1.5,60,10%,57,57,1769899.8833607137,0.7698998833607138
60,1.5,90,ALL_IN,55,11,2116819.4516338855,1.1168194516338854
60,1.5,90,25%,55,55,2807580.587206184,1.8075805872061839
60,1.5,90,10%,55,55,1824203.3814365934,0.8242033814365934
60,1.5,180,ALL_IN,34,3,386372.7858407079,-0.6136272141592921
60,1.5,180,25%,34,34,1994355.324836961,0.994355324836961
60,1.5,180,10%,34,34,1548070.1954235693,0.5480701954235694
60,2.0,30,ALL_IN,65,15,2961877.0245808684,1.9618770245808683
60,2.0,30,25%,65,65,2592958.5376119874,1.5929585376119872
60,2.0,30,10%,65,65,1765391.7631123995,0.7653917631123994
60,2.0,60,ALL_IN,57,8,1240074.0367009118,0.24007403670091176
60,2.0,60,25%,57,57,3784314.8025336587,2.784314802533659
60,2.0,60,10%,57,57,2487877.9582855925,1.4878779582855923
60,2.0,90,ALL_IN,55,6,836529.1405558272,-0.16347085944417283
60,2.0,90,25%,55,55,3977295.0022256672,2.9772950022256675
60,2.0,90,10%,55,55,2637640.4035532544,1.6376404035532546
60,2.0,180,ALL_IN,34,2,391980.1769911504,-0.6080198230088496
60,2.0,180,25%,34,34,2159141.1508687027,1.1591411508687028
60,2.0,180,10%,34,34,1931229.478697177,0.9312294786971771
60,2.4,30,ALL_IN,65,14,3379772.4637410757,2.3797724637410758
