cons_d,tp,horizon,alloc,n_signals_in_period,n_taken,final,return_pct
60,2.4,30,25%,65,65,2939273.4090357884,1.9392734090357884
60,2.4,30,10%,65,65,2081298.041870166,1.0812980418701659
60,2.4,60,ALL_IN,57,8,2582359.8440067703,1.58235984400677
60,2.4,60,25%,57,57,3603360.6625593877,2.6033606625593877
60,2.4,60,10%,57,57,2632238.042034015,1.632238042034015
60,2.4,90,ALL_IN,55,6,1208990.0013576143,0.20899000135761425
60,2.4,90,25%,55,55,4487445.055776282,3.4874450557762824
60,2.4,90,10%,55,55,3132512.627098552,2.132512627098552
60,2.4,180,ALL_IN,34,2,471272.2123893805,-0.5287277876106196
60,2.4,180,25%,34,34,2449421.916628493,1.4494219166284932
60,2.4,180,10%,34,34,2246813.6766431816,1.2468136766431814
60,3.0,30,ALL_IN,65,12,1413927.928611246,0.41392792861124583
60,3.0,30,25%,65,65,3578397.650230925,2.578397650230925
60,3.0,30,10%,65,65,2366189.9663312538,1.3661899663312536
60,3.0,60,ALL_IN,57,7,667953.9037210606,-0.33204609627893944
60,3.0,60,25%,57,57,5015801.074965782,4.015801074965783
60,3.0,60,10%,57,57,3375086.7797754207,2.3750867797754207
60,3.0,90,ALL_IN,55,6,5409016.676729276,4.4090166767292756
60,3.0,90,25%,55,55,6911323.693926268,5.911323693926268
60,3.0,90,10%,55,55,4313502.972726721,3.313502972726721
60,3.0,180,ALL_IN,34,2,590210.2654867256,-0.4097897345132744
60,3.0,180,25%,34,34,3259361.480009165,2.259361480009165
60,3.0,180,10%,34,34,2785336.867130081,1.785336867130081
60,5.0,30,ALL_IN,65,12,2364148.3107424597,1.36414831074246
60,5.0,30,25%,65,65,3250917.8788893223,2.2509178788893225
60,5.0,30,10%,65,65,2343875.7814820437,1.3438757814820437
60,5.0,60,ALL_IN,57,6,343258.11959207285,-0.6567418804079271
60,5.0,60,25%,57,57,5443385.554103765,4.443385554103765
60,5.0,60,10%,57,57,3781059.9805486267,2.7810599805486267
60,5.0,90,ALL_IN,55,5,7729983.705772208,6.729983705772208
60,5.0,90,25%,55,55,7974334.207184099,6.974334207184099
60,5.0,90,10%,55,55,4790376.924809438,3.790376924809438
60,5.0,180,ALL_IN,34,2,986670.4424778762,-0.013329557522123836
60,5.0,180,25%,34,34,4388058.718512594,3.3880587185125934
60,5.0,180,10%,34,34,3417091.176508547,2.417091176508547
