entry_date,exit_date,entry_price,exit_price,gross_return,exit_reason,hold_days,symbol,trigger_date,trigger_intraday_ret,trigger_vol_ratio
2025-06-27,2025-06-27,7.550000190734863,7.17250018119812,-0.050000000000000044,sl_intraday,0,QS,2025-06-26,0.3444639751206653,6.732129593408065
2026-02-19,2026-02-19,1.2649999856948853,1.2017499864101409,-0.050000000000000155,sl_intraday,0,RXT,2026-02-18,0.37412240080101,18.33216270361903
2026-05-11,2026-05-11,5.630000114440918,5.348500108718872,-0.050000000000000044,sl_intraday,0,RXT,2026-05-08,0.4241244471997785,6.572284894637702
2024-08-20,2024-08-20,3.680000066757202,3.4960000634193418,-0.050000000000000044,sl_intraday,0,SIDU,2024-08-19,0.4059040181359996,15.633598899987868
2024-12-17,2024-12-17,5.579999923706055,5.300999927520752,-0.050000000000000044,sl_intraday,0,SIDU,2024-12-16,1.044642814378045,19.093295536831658
2025-12-11,2025-12-11,1.149999976158142,1.0924999773502349,-0.050000000000000155,sl_intraday,0,SIDU,2025-12-10,0.3294117218070389,10.381251214839086
2025-12-22,2025-12-22,1.9450000524520874,1.847750049829483,-0.050000000000000044,sl_intraday,0,SIDU,2025-12-19,0.315192662546828,5.390366203618443
2026-04-06,2026-04-06,3.0,3.3000000000000003,0.10000000000000009,tp_intraday,0,SIDU,2026-04-02,0.5373133974279973,5.9582482874349685
2025-01-31,2025-01-31,3.390000104904175,3.220500099658966,-0.050000000000000044,sl_intraday,0,DGXX,2025-01-30,0.3260869922018983,5.21522246359321
2026-05-14,2026-05-14,1.899999976158142,1.804999977350235,-0.050000000000000044,sl_intraday,0,QUCY,2026-05-13,1.2905984316743782,19.3221682401398
2026-05-15,2026-05-15,2.4609999656677246,2.7070999622344973,0.10000000000000009,tp_intraday,0,QUCY,2026-05-14,0.5789473882342313,6.544278121174952
2025-04-14,2025-04-14,2.4100000858306885,2.289500081539154,-0.050000000000000044,sl_intraday,0,CRML,2025-04-11,0.3757961870492399,6.372765742436683
2025-06-16,2025-06-16,2.299999952316284,2.1849999547004697,-0.050000000000000155,sl_intraday,0,CRML,2025-06-13,0.3012820806729028,5.158933230956806
2025-06-17,2025-06-17,2.7200000286102295,2.584000027179718,-0.04999999999999993,sl_intraday,0,CRML,2025-06-16,0.3173913192208191,9.549102806021398
2025-04-07,2025-04-07,6.960000038146973,6.612000036239624,-0.050000000000000044,sl_intraday,0,AIIO,2025-04-04,0.2181818300042273,15.258913872470718
2026-04-01,2026-04-01,1.600000023841858,1.7600000262260438,0.10000000000000009,tp_intraday,0,AIIO,2026-03-31,0.3209877151884039,8.862031613104847
2026-05-15,2026-05-15,4.304999828338623,4.089749836921691,-0.050000000000000155,sl_intraday,0,AIIO,2026-05-14,0.2862028670688989,5.7711696125463785
2024-07-15,2024-07-15,1.409999966621399,1.339499968290329,-0.04999999999999993,sl_intraday,0,SATL,2024-07-12,0.3027522143124856,9.72214346470088
2024-11-21,2024-11-21,1.3200000524520874,1.254000049829483,-0.050000000000000044,sl_intraday,0,SATL,2024-11-20,0.306930757342525,6.507415254237288
2024-12-02,2024-12-02,2.0199999809265137,1.918999981880188,-0.050000000000000044,sl_intraday,0,SATL,2024-11-29,0.3873240057378286,5.546396001854809
2025-01-28,2025-01-28,1.3799999952316284,1.3109999954700469,-0.050000000000000044,sl_intraday,0,SLS,2025-01-27,0.3428571720512559,5.0228587375685
2024-10-09,2024-10-09,9.390000343322754,8.920500326156615,-0.050000000000000155,sl_intraday,0,LASE,2024-10-08,0.9062500286560802,10.653189177333042
2026-06-03,2026-06-03,3.515000104904175,3.339250099658966,-0.050000000000000044,sl_intraday,0,LASE,2026-06-02,1.0082987469768576,18.507674223211794
2026-03-11,2026-03-11,3.200000047683716,3.04000004529953,-0.050000000000000044,sl_intraday,0,CODX,2026-03-10,0.8884121199321213,13.762245168122847
2024-08-09,2024-08-09,2.869999885559082,2.726499891281128,-0.04999999999999993,sl_intraday,0,APPS,2024-08-08,0.3779905419688014,12.891447754992887
2025-02-07,2025-02-07,4.639999866485596,4.407999873161316,-0.050000000000000044,sl_intraday,0,APPS,2025-02-06,0.5593749052379295,13.698724791438645
2025-06-18,2025-06-18,7.679999828338623,7.295999836921691,-0.050000000000000044,sl_intraday,0,APPS,2025-06-17,0.3610108328107346,9.426439038169123
2025-07-24,2025-07-24,3.3550000190734863,3.187250018119812,-0.050000000000000044,sl_intraday,0,REPL,2025-07-23,0.2171532943574066,5.114857230431791
2025-11-17,2025-11-17,3.0199999809265137,2.868999981880188,-0.050000000000000044,sl_intraday,0,HCWB,2025-11-14,0.2195121762110985,14.566401340594888
2026-05-21,2026-05-21,2.1700000762939453,2.061500072479248,-0.050000000000000044,sl_intraday,0,HCWB,2026-05-20,1.3365386114318043,5.502725774926581
2026-02-27,2026-02-27,5.820000171661377,5.529000163078308,-0.050000000000000044,sl_intraday,0,AEHL,2026-02-26,0.4594594449465197,19.012762257846305
2026-05-11,2026-05-11,1.1699999570846558,1.1114999592304229,-0.050000000000000044,sl_intraday,0,AEHL,2026-05-08,0.212121248610128,19.704620016116195
2025-04-25,2025-04-25,9.34000015258789,8.873000144958496,-0.050000000000000044,sl_intraday,0,PONY,2025-04-24,0.238952537846705,5.843277484622697
2025-07-14,2025-07-14,1.3200000524520874,1.254000049829483,-0.050000000000000044,sl_intraday,0,SLNH,2025-07-11,0.4112148751795241,7.287292945435486
