cons_d,entry_range,tp_ratio,hold,train_n,train_win,train_mean,train_p10,train_score,test_n,test_win,test_mean,test_median,test_p10,test_sum,robust_score
30,$1.05-$1.15,1.2,90,34,0.9117647058823529,0.14521033511913806,0.17999999999999997,1.0758823529411763,51,0.6862745098039216,-0.004608909397446212,0.17999999999999997,-0.4753846153846154,-0.23505437926975678,0.7179562594268476
30,$1.05-$1.15,1.15,90,34,0.9411764705882353,0.10949300746409414,0.12999999999999992,1.0635294117647058,51,0.7450980392156863,-0.013878713602441448,0.12999999999999992,-0.43276595744680857,-0.7078143937245138,0.743087192323738
30,$1.05-$1.15,1.1,30,34,0.9705882352941176,0.0707975622681506,0.08000000000000008,1.0482352941176472,51,0.8235294117647058,-0.01095300154732812,0.08000000000000008,-0.43276595744680857,-0.5586030789137342,0.7576846057571965
30,$1.05-$1.15,1.1,60,34,0.9705882352941176,0.0703762586115528,0.08000000000000008,1.0482352941176472,51,0.8235294117647058,-0.008749790188758549,0.08000000000000008,-0.32830188679245287,-0.44623929962668596,0.8006992230854606
30,$1.05-$1.15,1.1,90,34,0.9705882352941176,0.07397456279809228,0.08000000000000008,1.0482352941176472,51,0.8431372549019608,-0.0038928029988836523,0.08000000000000008,-0.32830188679245287,-0.19853295294306628,0.8072844987051424
30,$1.05-$1.15,1.15,60,34,0.9117647058823529,0.10106070968311674,0.12999999999999992,1.0302941176470588,51,0.7450980392156863,-0.009323042281618612,0.12999999999999992,-0.43276595744680857,-0.4754751563625492,0.7264695452649145
30,$1.05-$1.15,1.15,30,34,0.8823529411764706,0.09418821859443594,-0.00688090050835144,0.876281558374984,51,0.7450980392156863,-0.006272859975029823,0.12999999999999992,-0.45318385650224213,-0.31991585872652095,0.6418565973533233
30,$1.05-$1.15,1.2,60,34,0.8823529411764706,0.13255791490004515,-0.009557522123893672,0.8739198334200937,51,0.6862745098039216,0.0003198315051916491,0.17999999999999997,-0.48624999999999996,0.016311406764774106,0.6132466814159292
30,$1.05-$1.15,1.3,90,34,0.8529411764705882,0.2038957820251733,-0.10144111969111971,0.7664178684987508,51,0.6666666666666666,0.05457112625317771,0.28,-0.4753846153846154,2.7831274389120635,0.5580807291211702
30,$1.05-$1.15,1.2,30,34,0.8235294117647058,0.11999918963032051,-0.09561014572987496,0.7447916446930442,51,0.6862745098039216,0.008122746763368155,0.17999999999999997,-0.45318385650224213,0.4142600849317759,0.5600288127624193
