symbol,date,today_close,next_open,consolidation_avg,consolidation_avg_vol,horizon_complete_30,max_high_30,close_30,hit_tp1.5_30,days_to_tp1.5_30,hit_tp2.0_30,days_to_tp2.0_30,hit_tp2.4_30,days_to_tp2.4_30,hit_tp3.0_30,days_to_tp3.0_30,hit_tp5.0_30,days_to_tp5.0_30,horizon_complete_60,max_high_60,close_60,hit_tp1.5_60,days_to_tp1.5_60,hit_tp2.0_60,days_to_tp2.0_60,hit_tp2.4_60,days_to_tp2.4_60,hit_tp3.0_60,days_to_tp3.0_60,hit_tp5.0_60,days_to_tp5.0_60,horizon_complete_90,max_high_90,close_90,hit_tp1.5_90,days_to_tp1.5_90,hit_tp2.0_90,days_to_tp2.0_90,hit_tp2.4_90,days_to_tp2.4_90,hit_tp3.0_90,days_to_tp3.0_90,hit_tp5.0_90,days_to_tp5.0_90,horizon_complete_180,max_high_180,close_180,hit_tp1.5_180,days_to_tp1.5_180,hit_tp2.0_180,days_to_tp2.0_180,hit_tp2.4_180,days_to_tp2.4_180,hit_tp3.0_180,days_to_tp3.0_180,hit_tp5.0_180,days_to_tp5.0_180
PLBY,2024-10-31,1.17,1.24,0.7523666666666665,353791.8333333333,1,1.7389,1.41,1,21.0,0,,0,,0,,0,,1,1.99,1.66,1,21.0,0,,0,,0,,0,,1,2.44,1.22,1,21.0,1,61.0,1,61.0,0,,0,,1,2.44,1.88,1,21.0,1,61.0,1,61.0,0,,0,
QTEX,2025-07-02,1.08,1.08,0.6779966666666668,656178.0666666667,1,1.65,1.255,1,2.0,0,,0,,0,,0,,1,1.65,1.31,1,2.0,0,,0,,0,,0,,1,1.65,0.9648,1,2.0,0,,0,,0,,0,,1,1.65,0.5529,1,2.0,0,,0,,0,,0,
INCR,2026-05-28,1.07,1.13,0.8377200000000001,36772.5,0,1.23,0.9988,0,,0,,0,,0,,0,,0,1.23,0.9988,0,,0,,0,,0,,0,,0,1.23,0.9988,0,,0,,0,,0,,0,,0,1.23,0.9988,0,,0,,0,,0,,0,
NBP,2025-05-22,1.05,1.02,0.8628660333333333,143110.26666666666,1,3.075,2.2,1,7.0,1,8.0,1,9.0,1,11.0,0,,1,5.9,4.21,1,7.0,1,8.0,1,9.0,1,11.0,1,57.0,1,5.9,3.86,1,7.0,1,8.0,1,9.0,1,11.0,1,57.0,1,6.79,3.42,1,7.0,1,8.0,1,9.0,1,11.0,1,57.0
PGEN,2024-12-31,1.12,1.2,0.8008299999999998,1292011.7666666666,1,2.1,1.96,1,23.0,1,29.0,0,,0,,0,,1,2.17,1.49,1,23.0,1,29.0,0,,0,,0,,1,2.17,1.35,1,23.0,1,29.0,0,,0,,0,,1,5.225,3.85,1,23.0,1,29.0,1,155.0,1,155.0,1,167.0
LUCD,2025-02-07,1.07,1.09,0.8552766666666667,252362.0,1,1.633,1.5,1,1.0,0,,0,,0,,0,,1,1.8,1.23,1,1.0,0,,0,,0,,0,,1,1.8,1.26,1,1.0,0,,0,,0,,0,,1,1.8,1.26,1,1.0,0,,0,,0,,0,
LGVN,2026-03-19,1.11,1.08,0.6263233333333332,10667095.666666666,1,1.23,0.851,0,,0,,0,,0,,0,,0,1.23,0.73,0,,0,,0,,0,,0,,0,1.23,0.73,0,,0,,0,,0,,0,,0,1.23,0.73,0,,0,,0,,0,,0,
LOBO,2025-10-16,1.13,1.04,0.6941950666666667,446280.8333333333,1,1.19,0.6534,0,,0,,0,,0,,0,,1,1.19,0.615,0,,0,,0,,0,,0,,1,1.19,0.5664,0,,0,,0,,0,,0,,0,1.48,0.705101,0,,0,,0,,0,,0,
ONDS,2024-07-22,1.13,1.18,0.7113825000000001,200649.86666666667,1,1.2997,0.8606,0,,0,,0,,0,,0,,1,1.2997,0.9016,0,,0,,0,,0,,0,,1,1.2997,0.835,0,,0,,0,,0,,0,,1,3.4,0.8301,1,103.0,1,109.0,1,110.0,1,111.0,0,
ONDS,2024-12-11,1.05,1.04,0.7876266666666666,2098939.533333333,1,3.4,1.81,1,3.0,1,9.0,1,10.0,1,11.0,0,,1,3.4,0.697,1,3.0,1,9.0,1,10.0,1,11.0,0,,1,3.4,0.8005,1,3.0,1,9.0,1,10.0,1,11.0,0,,1,6.188,5.03,1,3.0,1,9.0,1,10.0,1,11.0,1,175.0
ONDS,2025-05-28,1.07,1.1,0.8403366666666666,6433532.933333334,1,2.29,2.12,1,3.0,1,8.0,0,,0,,0,,1,4.51,4.49,1,3.0,1,8.0,1,31.0,1,47.0,0,,1,11.63,10.66,1,3.0,1,8.0,1,31.0,1,47.0,1,62.0,1,15.28,9.31,1,3.0,1,8.0,1,31.0,1,47.0,1,62.0
RAAQW,2026-02-23,1.15,1.2,0.5840433333333332,10974.966666666667,1,1.5009,1.39,1,16.0,0,,0,,0,,0,,1,2.935,2.7601,1,16.0,1,37.0,1,40.0,0,,0,,0,3.7,3.15,1,16.0,1,37.0,1,40.0,1,61.0,0,,0,3.7,3.15,1,16.0,1,37.0,1,40.0,1,61.0,0,
PRLD,2025-08-20,1.05,1.07,0.8564,120289.2,1,1.91,1.44,1,26.0,0,,0,,0,,0,,1,4.22,1.51,1,26.0,1,52.0,1,52.0,1,52.0,0,,1,4.22,2.94,1,26.0,1,52.0,1,52.0,1,52.0,0,,1,5.54,4.86,1,26.0,1,52.0,1,52.0,1,52.0,1,163.0
