month,rule,sub_level,train_n,train_win,train_mean,test_n,test_win,test_mean,test_sum
2018-01,45d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,5,1.0,0.31686579474490395,2,0.0,-0.22975609756097545,-0.4595121951219509
2018-02,30d/sub$2.0/$2.00-$2.50/+20%/90d,2.0,9,0.8888888888888888,0.13447154471544714,0,,,0.0
2018-03,—,,0,,,0,,,0.0
2018-04,30d/sub$2.0/$2.00-$2.50/+20%/90d,2.0,7,0.8571428571428571,0.12146341463414632,1,1.0,0.17999999999999997,0.17999999999999997
2018-05,—,,0,,,0,,,0.0
2018-06,30d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,10,0.8,0.2839521153858869,1,0.0,-0.5440112994350284,-0.5440112994350284
2018-07,30d/sub$1.5/$1.50-$2.00/+10%/90d,1.5,6,1.0,0.07364100855270474,0,,,0.0
2018-08,30d/sub$1.5/$1.50-$2.00/+10%/90d,1.5,6,1.0,0.07364100855270474,1,1.0,0.037266091572661045,0.037266091572661045
2018-09,—,,0,,,0,,,0.0
2018-10,30d/sub$2.0/$2.00-$2.50/+20%/90d,2.0,6,0.8333333333333334,0.09356209150326793,0,,,0.0
2018-11,30d/sub$2.0/$2.00-$3.00/+20%/90d,2.0,5,0.8,0.03406392694063924,0,,,0.0
2018-12,—,,0,,,0,,,0.0
2019-01,—,,0,,,0,,,0.0
2019-02,30d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,5,0.8,0.21574672696976913,5,0.6,0.16657519596472906,0.8328759798236453
2019-03,30d/sub$2.0/$2.00-$2.50/+20%/90d,2.0,10,0.8,0.058584745762711846,7,0.2857142857142857,-0.2554254853453571,-1.7879783974174996
2019-04,45d/sub$1.5/$1.50-$2.00/+10%/30d,1.5,9,0.8888888888888888,0.05968441814595668,0,,,0.0
2019-05,30d/sub$1.5/$1.50-$2.00/+10%/30d,1.5,11,0.9090909090909091,0.0633781603012373,0,,,0.0
2019-06,45d/sub$1.5/$1.50-$2.00/+30%/90d,1.5,5,0.8,0.1396330419968484,0,,,0.0
2019-07,30d/sub$2.0/$2.00-$2.50/+20%/90d,2.0,7,0.8571428571428571,0.10731092436974786,1,1.0,0.17999999999999997,0.17999999999999997
2019-08,—,,0,,,0,,,0.0
2019-09,—,,0,,,0,,,0.0
2019-10,—,,0,,,0,,,0.0
2019-11,—,,0,,,0,,,0.0
2019-12,60d/sub$1.5/$1.50-$1.80/+15%/90d,1.5,5,0.8,0.06172011126106425,1,1.0,0.12999999999999992,0.12999999999999992
2020-01,30d/sub$1.5/$1.50-$2.00/+50%/90d,1.5,6,1.0,0.48,4,0.5,0.023925108818478903,0.09570043527391561
2020-02,30d/sub$1.5/$1.50-$2.00/+50%/90d,1.5,10,0.8,0.2975700435273915,2,1.0,0.24655629139072843,0.49311258278145687
2020-03,30d/sub$2.0/$2.00-$3.00/+30%/90d,2.0,14,0.9285714285714286,0.21232663562852247,3,1.0,0.28,0.8400000000000001
2020-04,30d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,10,0.8,0.28841655996585575,6,1.0,0.4202439024390244,2.5214634146341464
2020-05,30d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,11,1.0,0.4474057649667406,17,0.7058823529411765,0.26818465250801937,4.559139092636329
2020-06,30d/sub$1.5/$1.50-$2.00/+50%/90d,1.5,17,0.8823529411764706,0.4117744489099988,15,0.8,0.2543261565234834,3.814892347852251
2020-07,30d/sub$1.5/$1.50-$2.00/+50%/90d,1.5,30,0.8333333333333334,0.32850193264407435,5,0.8,0.32591194968553455,1.6295597484276727
2020-08,30d/sub$1.5/$1.50-$2.00/+50%/90d,1.5,33,0.8181818181818182,0.31892780993181524,4,1.0,0.48,1.92
2020-09,30d/sub$1.5/$1.50-$2.00/+50%/90d,1.5,24,0.8333333333333334,0.3068521706783301,4,0.75,0.24451612903225803,0.9780645161290321
2020-10,30d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,28,0.8214285714285714,0.32196132837150826,2,1.0,0.48,0.96
2020-11,30d/sub$2.0/$2.00-$3.00/+50%/90d,2.0,24,0.9166666666666666,0.41146401126656934,9,0.8888888888888888,0.3671499176276771,3.304349258649094
2020-12,30d/sub$2.0/$2.00-$3.00/+50%/90d,2.0,24,0.9583333333333334,0.41886052962551695,7,1.0,0.4328299364292065,3.0298095550044453
2021-01,30d/sub$2.0/$2.00-$3.00/+50%/90d,2.0,23,0.9565217391304348,0.4214851658110235,2,1.0,0.48,0.96
2021-02,30d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,16,1.0,0.4593630971877778,8,0.625,0.1965431066429234,1.5723448531433872
2021-03,30d/sub$2.0/$2.00-$3.00/+50%/90d,2.0,17,0.8235294117647058,0.3271855534204607,0,,,0.0
2021-04,30d/sub$1.5/$1.50-$2.00/+30%/60d,1.5,6,1.0,0.28,0,,,0.0
2021-05,30d/sub$2.0/$2.00-$2.50/+10%/90d,2.0,9,0.8888888888888888,0.06095238095238103,0,,,0.0
2021-06,—,,0,,,0,,,0.0
2021-07,—,,0,,,0,,,0.0
2021-08,—,,0,,,0,,,0.0
2021-09,—,,0,,,0,,,0.0
2021-10,—,,0,,,0,,,0.0
2021-11,—,,0,,,0,,,0.0
2021-12,30d/sub$2.0/$2.00-$2.50/+10%/60d,2.0,5,1.0,0.08000000000000008,0,,,0.0
2022-01,—,,0,,,0,,,0.0
2022-02,30d/sub$2.0/$2.00-$3.00/+50%/30d,2.0,5,0.8,0.1900304233998375,2,0.0,-0.12897246441062013,-0.25794492882124026
2022-03,30d/sub$2.0/$2.00-$3.00/+20%/30d,2.0,5,0.8,0.04041656201369888,5,0.6,0.022680412371134013,0.11340206185567006
2022-04,30d/sub$2.0/$2.00-$3.00/+15%/60d,2.0,10,0.8,0.029840767581912765,3,0.0,-0.33453857214318306,-1.0036157164295492
2022-05,30d/sub$1.5/$1.50-$2.00/+20%/90d,1.5,5,0.8,0.06823529411764703,0,,,0.0
2022-06,45d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,5,0.8,0.13424147016266397,2,0.5,-0.1879980634229001,-0.3759961268458002
2022-07,30d/sub$1.5/$1.50-$2.00/+20%/60d,1.5,6,0.8333333333333334,0.087754279959718,3,0.6666666666666666,-0.02380952380952382,-0.07142857142857145
2022-08,30d/sub$1.5/$1.50-$2.00/+10%/60d,1.5,8,1.0,0.08000000000000008,10,0.4,-0.16620925298797226,-1.6620925298797227
2022-09,60d/sub$2.0/$2.00-$2.50/+10%/60d,2.0,13,0.8461538461538461,0.02138319629366842,2,0.5,-0.09913907284768214,-0.19827814569536428
2022-10,—,,0,,,0,,,0.0
2022-11,30d/sub$2.0/$2.00-$2.50/+10%/90d,2.0,23,0.8260869565217391,0.014872978469100795,15,0.8666666666666667,0.02576252723311553,0.386437908496733
2022-12,60d/sub$1.5/$1.50-$2.00/+50%/90d,1.5,6,0.8333333333333334,0.3004301075268817,4,0.75,0.20706232272297506,0.8282492908919002
2023-01,60d/sub$1.5/$1.50-$2.00/+50%/90d,1.5,8,0.875,0.34353116136148754,11,0.36363636363636365,0.006216757356801139,0.06838433092481253
2023-02,30d/sub$1.5/$1.50-$1.80/+20%/90d,1.5,35,0.8285714285714286,0.10351149308814328,3,1.0,0.17999999999999997,0.5399999999999999
2023-03,30d/sub$1.5/$1.50-$1.80/+20%/90d,1.5,30,0.8666666666666667,0.12076199353519362,6,0.8333333333333334,0.1251612903225806,0.7509677419354837
2023-04,30d/sub$1.5/$1.50-$1.80/+20%/90d,1.5,26,0.8461538461538461,0.11636004962779155,5,0.8,0.07974358974358972,0.39871794871794863
2023-05,60d/sub$1.5/$1.50-$1.80/+50%/90d,1.5,7,0.8571428571428571,0.339871221215759,7,0.7142857142857143,0.2501040681173131,1.7507284768211917
2023-06,60d/sub$1.5/$1.50-$1.80/+50%/90d,1.5,12,0.8333333333333334,0.3107208795619391,6,0.16666666666666666,-0.10549363612158225,-0.6329618167294935
