month,rule,sub_level,train_n,train_win,train_mean,test_n,test_win,test_mean,test_sum
2023-07,60d/sub$1.0/$1.05-$1.15/+50%/60d,1.0,6,0.8333333333333334,0.32751137102014294,1,0.0,-0.2990909090909092,-0.2990909090909092
2023-08,30d/sub$1.0/$1.05-$1.15/+50%/30d,1.0,9,0.8888888888888888,0.1912686457164986,1,1.0,0.48,0.48
2023-09,30d/sub$1.0/$1.05-$1.15/+50%/90d,1.0,5,0.8,0.279969696969697,3,0.6666666666666666,0.2416822429906542,0.7250467289719625
2023-10,60d/sub$1.5/$1.50-$1.80/+30%/90d,1.5,15,0.8666666666666667,0.20408512892970687,3,0.6666666666666666,0.10808219178082194,0.3242465753424658
2023-11,30d/sub$1.0/$1.05-$1.15/+50%/90d,1.0,5,0.8,0.3370093457943925,2,0.5,0.15792792792792787,0.31585585585585574
2023-12,60d/sub$1.5/$1.50-$1.80/+50%/90d,1.5,14,0.8571428571428571,0.38042616575467125,12,0.5,0.07090586979532373,0.8508704375438848
2024-01,30d/sub$1.5/$1.50-$1.80/+30%/90d,1.5,47,0.8085106382978723,0.1584145364716088,13,0.8461538461538461,0.17802349387062147,2.314305420318079
2024-02,30d/sub$1.5/$1.50-$2.00/+30%/60d,1.5,59,0.8135593220338984,0.17585084503853543,17,0.7647058823529411,0.16521046151160843,2.8085778456973434
2024-03,30d/sub$1.5/$1.50-$2.00/+20%/60d,1.5,58,0.8103448275862069,0.10170677673001682,17,0.7058823529411765,0.012795571100176133,0.21752470870299426
2024-04,30d/sub$1.5/$1.50-$2.00/+20%/90d,1.5,48,0.8333333333333334,0.09352927584608844,11,0.7272727272727273,0.016896868923905215,0.18586555816295736
2024-05,60d/sub$1.5/$1.50-$2.00/+20%/90d,1.5,32,0.84375,0.09877659597112208,3,0.3333333333333333,-0.09054712870473137,-0.27164138611419414
2024-06,30d/sub$1.0/$1.20-$1.50/+50%/30d,1.0,5,0.8,0.304297520661157,0,,,0.0
2024-07,30d/sub$1.0/$1.05-$1.15/+50%/60d,1.0,5,0.8,0.2959322033898305,2,0.0,-0.3034165521453657,-0.6068331042907315
2024-08,30d/sub$1.5/$1.50-$1.80/+15%/90d,1.5,28,0.8214285714285714,0.05503540667877181,12,0.8333333333333334,0.030857843137254832,0.370294117647058
2024-09,45d/sub$1.5/$1.50-$1.80/+20%/90d,1.5,23,0.8260869565217391,0.07637877165207352,5,0.6,-0.025758818703855695,-0.12879409351927848
2024-10,60d/sub$1.5/$1.50-$1.80/+50%/90d,1.5,16,0.8125,0.29846390100054593,13,0.6923076923076923,0.21149446898444568,2.7494280967977938
2024-11,45d/sub$1.0/$1.10-$1.30/+50%/60d,1.0,5,1.0,0.48,2,0.5,0.17992307692307685,0.3598461538461537
2024-12,60d/sub$2.0/$2.00-$3.00/+30%/60d,2.0,45,0.8,0.16488071396748946,28,0.5714285714285714,-0.024272411576932853,-0.6796275241541199
2025-01,30d/sub$1.5/$1.50-$2.00/+30%/90d,1.5,64,0.828125,0.1672549114947573,12,0.5833333333333334,0.008551995429084774,0.10262394514901729
2025-02,30d/sub$1.0/$1.05-$1.15/+50%/90d,1.0,8,0.875,0.39429864253393665,3,1.0,0.48,1.44
2025-03,30d/sub$1.0/$1.05-$1.15/+50%/90d,1.0,10,0.9,0.4114389140271493,1,1.0,0.48,0.48
2025-04,30d/sub$1.0/$1.05-$1.20/+50%/60d,1.0,6,1.0,0.48,4,0.75,0.25852135394514897,1.0340854157805959
2025-05,30d/sub$1.0/$1.05-$1.20/+50%/90d,1.0,10,1.0,0.4800000000000001,4,1.0,0.48,1.92
2025-06,30d/sub$2.0/$2.00-$2.50/+50%/90d,2.0,75,0.8133333333333334,0.3019888193933697,47,0.6382978723404256,0.1844320437715477,8.668306057262742
2025-07,30d/sub$2.0/$2.00-$2.50/+30%/90d,2.0,109,0.8440366972477065,0.17669725333924702,58,0.7068965517241379,0.09331588633990875,5.412321407714708
2025-08,30d/sub$1.0/$1.05-$1.15/+50%/90d,1.0,13,0.9230769230769231,0.4227991452991453,9,1.0,0.48000000000000004,4.32
2025-09,30d/sub$1.0/$1.05-$1.15/+50%/90d,1.0,18,0.9444444444444444,0.4386882716049383,4,0.5,0.023269792983565074,0.0930791719342603
2025-10,45d/sub$1.0/$1.05-$1.20/+50%/60d,1.0,20,0.85,0.3746188641912941,6,0.5,0.04263176638176638,0.25579059829059825
2025-11,45d/sub$1.0/$1.05-$1.15/+50%/30d,1.0,17,0.8235294117647058,0.28484572675606024,1,0.0,-0.38491228070175443,-0.38491228070175443
2025-12,60d/sub$1.0/$1.05-$1.15/+30%/60d,1.0,8,0.875,0.19141826923076927,2,1.0,0.28,0.56
2026-01,60d/sub$1.0/$1.05-$1.15/+30%/60d,1.0,8,0.875,0.19141826923076927,2,0.5,-0.10312499999999997,-0.20624999999999993
2026-02,30d/sub$1.5/$2.00-$3.00/+50%/90d,1.5,5,0.8,0.3115315315315315,2,0.5,-0.23693023255813955,-0.4738604651162791
2026-03,30d/sub$1.5/$2.00-$3.00/+30%/30d,1.5,5,1.0,0.28,3,0.6666666666666666,0.0229319371727749,0.0687958115183247
2026-04,30d/sub$1.5/$2.00-$3.00/+30%/60d,1.5,8,0.875,0.18883507853403145,2,0.5,-0.0854242424242424,-0.1708484848484848
2026-05,60d/sub$2.0/$2.00-$3.00/+10%/30d,2.0,47,0.8085106382978723,0.0024236037616252007,26,0.6923076923076923,-0.04570789704870869,-1.1884053232664258
2026-06,30d/sub$1.5/$2.00-$3.00/+30%/60d,1.5,10,0.8,0.13398321434237667,1,0.0,-0.13379800853485055,-0.13379800853485055
