symbol,date,open,high,low,close,high_x_open,low_x_open,close_x_open,entry,opt_return,opt_reason,pes_return,pes_reason,dollar_vol,range,close_position,close_vs_entry,realistic_outcome,realistic_return
QUBT,2024-11-13,1.440000057220459,3.4200000762939453,1.409999966621399,2.6600000858306885,2.374999958607887,0.9791666045784976,1.8472222084248513,2.880000114440918,0.1,tp,-0.05,sl_first,271777262.7694845,2.0100001096725464,0.621890572639287,-0.07638889578757435,sl_hit,-0.05
SIDU,2024-12-16,2.240000009536743,6.840000152587891,2.049999952316284,4.579999923706055,3.0535714836905195,0.9151785462448488,2.044642814378045,4.480000019073486,0.1,tp,-0.05,sl_first,1359800145.3483582,4.7900002002716064,0.5281836880187004,0.022321407189022535,tp_pulled_back,0.1
QUCY,2026-05-14,1.899999976158142,3.9700000286102295,1.6299999952316284,3.0,2.0894737254879816,0.8578947450975963,1.5789473882342313,3.799999952316284,-0.05,sl,-0.05,sl,806877000.0,2.340000033378601,0.5854700791564954,-0.21052630588288435,sl_hit,-0.05
QUCY,2026-05-15,2.4609999656677246,4.929999828338623,2.4600000381469727,3.4600000381469727,2.0032506692867846,0.9995936905588372,1.4059325828589342,4.921999931335449,-0.05,sl,-0.05,sl,283941097.13048935,2.4699997901916504,0.40485833398488213,-0.2970337085705329,sl_hit,-0.05
AIIO,2026-05-14,4.385000228881836,9.199999809265137,3.259999990463257,5.639999866485596,2.098061420537511,0.7434435166026316,1.286202867068899,8.770000457763672,-0.05,sl,-0.05,sl,939000757.7712536,5.93999981880188,0.4006733920241758,-0.3568985664655505,sl_hit,-0.05
LASE,2024-10-08,4.159999847412109,9.420000076293944,4.159999847412109,7.929999828338623,2.2644231783215143,1.0,1.90625002865608,8.319999694824219,0.1,tp,-0.05,sl_first,546922572.1607208,5.260000228881834,0.7167300032091323,-0.04687498567195991,close_red_no_sl,-0.04687498567196002
LASE,2026-06-02,1.2050000429153442,2.4700000286102295,1.0800000429153442,2.4200000762939453,2.049792481861145,0.8962655638604141,2.0082987469768576,2.4100000858306885,0.0041493734884288,close,-0.05,sl,694599553.8982391,1.3899999856948853,0.9640288109130531,0.004149373488428809,close_green,0.004149373488428809
HCWB,2026-05-20,1.0399999618530271,3.990000009536743,1.0299999713897705,2.430000066757202,3.836538611431805,0.990384624201871,2.336538611431805,2.0799999237060542,0.1,tp,-0.05,sl_first,475673728.0677557,2.9600000381469727,0.4729729990962647,0.1682693057159026,tp_held,0.1
AEHL,2025-11-24,7.860000133514404,18.0,7.860000133514404,15.18000030517578,2.2900762969773316,1.0,1.931297715943984,15.720000267028809,0.1,tp,-0.05,sl_first,257377163.23426053,10.139999866485596,0.721893517558635,-0.03435114202800793,close_red_no_sl,-0.03435114202800804
AEHL,2026-02-26,4.440000057220459,10.4399995803833,3.839999914169311,6.480000019073486,2.3513512265400687,0.864864834387691,1.4594594449465197,8.880000114440918,0.1,tp,-0.05,sl_first,249181162.5734496,6.599999666213989,0.400000036124029,-0.27027027752674015,sl_hit,-0.05
