symbol,last_close,avg_dollar_vol_20d,n_bars
BTQ,4.070000171661377,14088220.075122118,90
AHCO,9.890000343322754,14002662.073087692,90
AVAH,6.679999828338623,13953357.272949219,90
BZFD,1.399999976158142,13749630.15823245,90
ORIC,7.5,13660251.575679779,90
TRAW,1.3700000047683716,13580112.169876099,90
DRTS,9.350000381469727,13509703.35342884,90
ABTS,1.9900000095367432,13493460.750907362,90
XMAX,8.15999984741211,13466528.894491196,90
ANNX,5.289999961853027,13455593.226041794,90
WLTH,9.850000381469727,13192971.668505669,90
BZAI,1.659999966621399,13188209.313862324,90
CABA,3.25,13101803.083109856,90
RYOJ,3.0999999046325684,12960689.780523181,90
BLZE,7.760000228881836,12814726.295547485,90
IMMX,7.929999828338623,12775454.63588953,90
TSHA,5.5,12747603.07034254,90
VUZI,3.6500000953674316,12664307.48577714,90
SABR,1.659999966621399,12641311.619293094,90
CTMX,3.0,12510781.441491842,90
MLCO,5.699999809265137,12462700.283946991,90
VIVO,4.599999904632568,12407073.815470934,90
NEXR,1.2100000381469727,12137216.834225059,90
WB,7.699999809265137,12091973.81850481,90
ALTO,5.429999828338623,11875755.52977562,90
SPT,7.230000019073486,11858337.787353992,90
WCT,1.409999966621399,11792620.134518743,90
CRMD,8.359999656677246,11565087.985777855,90
SSYS,8.850000381469727,11461157.687015533,90
CCCC,3.8499999046325684,11324998.190646172,90
AVR,9.640000343322754,11303590.317423344,90
VSTM,3.7100000381469727,11275828.264074326,90
INDP,3.6600000858306885,11166561.21290207,90
LTBR,9.420000076293945,11141024.167938232,90
IPWR,6.03000020980835,11095393.835823536,90
RILY,8.470000267028809,11085944.03860569,90
UROY,3.0899999141693115,11056021.351383924,90
HOVR,2.259999990463257,11041668.041627407,90
FULC,3.690000057220459,10962709.354516268,90
ERII,8.010000228881836,10926986.71918869,90
LTRX,6.559999942779541,10896085.490841866,90
SPHL,5.349999904632568,10858585.54160595,90
HLMN,7.300000190734863,10698990.898134708,90
IMRX,4.269999980926514,10698825.121190548,90
PRFX,1.590000033378601,10687902.904699445,90
MVST,1.25,10555793.294532895,90
FATE,1.9800000190734863,10389291.290647388,90
WGRX,4.349999904632568,10356785.113929749,90
CMPX,2.0399999618530273,10350747.304355502,90
STGW,6.440000057220459,10301304.592597485,90
OXLC,9.640000343322754,10221147.25034237,90
NRDS,7.96999979019165,10203710.704319477,90
ODYS,3.990000009536743,10132068.715333939,90
ACDC,6.929999828338623,10123362.361037731,90
EDIT,2.7100000381469727,9936982.13828206,90
XERS,6.179999828338623,9756887.21863985,90
TDUP,4.820000171661377,9727881.783323288,90
NAVI,7.809999942779541,9701254.24545765,90
BMBL,2.8399999141693115,9612154.561475515,90
EVGO,2.125,9576758.585273623,90
KDK,6.380000114440918,9557382.534472942,90
HTCO,2.9000000953674316,9482559.391868114,90
SLXN,4.670000076293945,9371508.06797111,90
LESL,4.630000114440918,9363774.73814249,90
PRME,3.059999942779541,9313562.337983847,90
HUMA,1.350000023841858,9256618.022174835,90
PSIG,9.229999542236328,9219079.110600948,90
BGMS,1.5,9216933.927082121,90
PACB,1.4500000476837158,9134086.014502645,90
ARHS,6.329999923706055,9131058.363029957,90
WEST,7.539999961853027,9036546.278927326,90
ANGI,5.920000076293945,8955496.804292202,90
EMBC,3.380000114440918,8954009.542229176,90
CGNT,8.989999771118164,8949245.405344963,90
IRWD,3.309999942779541,8881092.544748783,90
EH,7.894999980926514,8748262.648909092,90
AIRJ,4.869999885559082,8727869.297572374,90
LMRI,8.5,8625124.37076807,90
OLPX,2.0399999618530273,8623469.546459913,90
AREC,2.109999895095825,8562863.88379693,90
SHMD,5.050000190734863,8533504.898779392,90
TOI,4.869999885559082,8529153.406143188,90
BWEN,3.809999942779541,8285457.45143652,90
RNW,6.039999961853027,8285152.334702015,90
HCAI,6.75,8256963.808302879,90
KYTX,7.46999979019165,8244411.164560318,90
IEP,7.409999847412109,8236297.252829075,90
GXAI,1.3799999952316284,8168380.922632813,90
NCT,3.940000057220459,8160827.08124876,90
BCDA,1.0299999713897705,8159627.788800001,90
ALT,2.7100000381469727,8138698.819429874,90
DNUT,3.509999990463257,8123247.228873968,90
INM,1.5800000429153442,8100258.36620748,90
OCGN,1.2799999713897705,8048682.125580907,90
ARVN,7.420000076293945,8042200.316758156,90
JZXN,1.1200000047683716,7998893.708420992,90
TALK,5.21999979019165,7977953.653144836,90
ASTL,4.960000038146973,7920366.664614677,90
AQST,3.930000066757202,7901819.826302528,90
MGTX,9.0,7890883.233704567,90
CGC,1.0299999713897705,7881085.997470021,90
ZENA,1.350000023841858,7826052.902504206,90
SLDB,6.699999809265137,7812611.786763668,90
QSI,1.0499999523162842,7720067.541477084,90
RCKT,2.75,7689025.4454648495,90
FDMT,8.640000343322754,7664326.911687851,90
PTLO,3.990000009536743,7658662.771488428,90
ACHV,5.130000114440918,7499775.335745811,90
MYGN,4.570000171661377,7491513.223135471,90
BRCB,6.309999942779541,7434071.621732712,90
IOTR,3.299999952316284,7374312.017408013,90
SVRA,5.090000152587891,7320050.858161449,90
EZGO,1.3200000524520874,7314598.494651472,90
CXDO,7.570000171661377,7312560.44198513,90
NTCL,2.0999999046325684,7253799.257114083,90
AGNT,4.75,7046492.941296101,90
IMTX,9.789999961853027,7028431.463398933,90
IQ,1.0499999523162842,6989743.149631023,90
LILAK,7.610000133514404,6986404.01542902,90
RLMD,5.949999809265137,6982412.379956245,90
ARTV,6.849999904632568,6962036.961815357,90
LXRX,1.909999966621399,6946701.218969226,90
BRAI,7.269999980926514,6913880.592324734,79
IHRT,3.890000104904175,6913587.150990963,90
WOOF,2.8299999237060547,6908444.893298149,90
FCHL,1.0700000524520874,6905636.394999623,90
FABC,4.25,6853366.101467609,90
REAX,1.6799999475479126,6789438.148711324,90
GNTA,2.0399999618530273,6713607.662173808,90
LENZ,7.010000228881836,6602826.122279167,90
NRXP,4.139999866485596,6588545.128684044,90
BVS,9.039999961853027,6588130.3330254555,90
GOGO,3.7899999618530273,6585106.649301052,90
RZLT,4.25,6579125.374735594,90
CERS,2.7100000381469727,6531718.943600655,90
CLIK,1.7000000476837158,6509940.961147547,90
ABUS,4.25,6505610.364084244,90
VERI,1.7100000381469727,6498431.854233742,90
ARKO,7.489999771118164,6343169.039795399,90
HPK,7.559999942779541,6321528.608496189,90
VNDA,6.03000020980835,6308707.184903622,90
GSM,3.859999895095825,6290700.952974558,90
LRMR,3.1700000762939453,6203444.213548899,90
CRBP,7.559999942779541,6203371.228744984,90
SPPL,3.7799999713897705,6165039.035320282,90
MLGO,4.690000057220459,6145847.292077541,90
PANL,7.210000038146973,6127362.677407265,90
SFIX,3.4200000762939453,6100158.07911396,90
AIRO,8.289999961853027,6010130.84913969,90
AIOT,3.8399999141693115,5969077.379823923,90
ADAM,8.979999542236328,5949738.885259628,90
SRTA,5.789999961853027,5932476.308169365,90
CNCK,1.7999999523162842,5916389.152402282,90
BDTX,1.9700000286102295,5885682.217324972,90
MGNX,3.9100000858306885,5885642.000644207,90
ACRS,4.360000133514404,5805358.633668423,90
ABEO,5.460000038146973,5803595.052950382,90
AMCX,9.800000190734863,5680093.663072586,90
FGL,1.7699999809265137,5675328.276269436,90
PAYS,6.789999961853027,5668973.326570988,90
HNST,3.25,5648726.265442371,90
AIRS,5.110000133514404,5635684.527055025,90
PRTA,8.789999961853027,5629857.313141823,90
SGMT,6.760000228881836,5601233.34512949,90
GEVO,1.6299999952316284,5599986.5938693285,90
CISS,2.140000104904175,5580258.171570301,90
NAMM,1.9199999570846558,5566968.548928499,90
TWAV,1.6799999475479126,5506551.676162481,90
PERI,7.880000114440918,5462978.339953423,90
LAND,9.270000457763672,5454319.683732986,90
CFFN,7.849999904632568,5433427.151985168,90
UNCY,6.920000076293945,5420438.758456707,90
PALI,1.7400000095367432,5383751.948782802,90
MDXG,3.740000009536743,5379663.062750101,90
ILPT,8.609999656677246,5175725.885541439,90
LFVN,9.970000267028809,5084345.945568085,90
FWDI,3.690000057220459,5050583.127057552,90
EU,1.3799999952316284,5041377.597670555,90
INO,1.0700000524520874,5024271.543265581,90
UPB,7.050000190734863,5013652.512636185,90
FNKO,5.099999904632568,4991836.020092964,90
XTIA,1.809999942779541,4987969.7344607115,90
GDRX,2.6500000953674316,4954316.4953792095,90
SENS,6.670000076293945,4927950.46143055,90
GAMB,2.369999885559082,4890943.289400339,90
FIP,4.159999847412109,4841728.222641945,90
GRFS,7.639999866485596,4815511.875984669,90
PICS,9.180000305175781,4770725.821142197,89
SCZM,6.400000095367432,4732973.951265812,90
RWAY,6.159999847412109,4700055.0869989395,90
ARTL,1.3799999952316284,4697563.169441819,90
EOLS,6.670000076293945,4679501.6659498215,90
ENGN,1.6399999856948853,4582521.748100519,90
OXSQ,1.25,4581649.431177378,90
NNDM,1.559999942779541,4555792.449017763,90
IFRX,1.840000033378601,4550232.1886742115,90
TLS,4.099999904632568,4540925.6348490715,90
PLTK,3.0899999141693115,4523904.972815514,90
OVID,2.4000000953674316,4494339.665759802,90
AEMD,1.909999966621399,4490520.1795476675,90
HCHL,4.25,4489024.153598547,90
EGHT,1.8899999856948853,4423977.176148295,90
CRON,2.740000009536743,4407354.311516285,90
IRD,4.03000020980835,4398616.740752459,90
RXST,5.0,4392163.481118679,90
MSAI,4.710000038146973,4328880.902445316,90
KPTI,9.079999923706055,4284326.641249657,90
LX,2.069999933242798,4273870.062371492,90
ATLX,3.5299999713897705,4256883.870506287,90
ALLT,7.400000095367432,4252201.65984869,90
CDZI,4.139999866485596,4248193.575937748,90
SWIM,5.28000020980835,4229097.646899223,90
VSA,6.380000114440918,4217847.341595888,90
CTKB,4.090000152587891,4204828.565148115,90
EIKN,8.960000038146973,4196336.562366486,84
QTRX,3.299999952316284,4173254.5872557163,90
LNKS,1.4600000381469727,4142006.631872058,90
BNRG,1.2899999618530273,4115882.259054184,90
OCG,1.7000000476837158,4112978.1092196703,90
LXEO,4.369999885559082,4094791.3510513306,90
PRSO,1.0,4048715.2299028635,90
CRBU,1.9199999570846558,4030187.868786454,90
NAGE,3.450000047683716,4027843.335186243,90
LFMD,4.889999866485596,4027593.425910473,90
MBOT,1.840000033378601,4004735.4205411673,90
IVVD,1.0299999713897705,3989148.8463956118,90
FATN,6.130000114440918,3964299.5249330997,90
NUCL,9.420000076293945,3951030.224251747,71
ZNTL,3.6600000858306885,3946471.7023837566,90
AZ,6.420000076293945,3930193.3495926857,90
DFDV,2.859999895095825,3919585.81985116,90
FOSL,3.9600000381469727,3908523.178497553,90
ELDN,3.4100000858306885,3865593.072041273,90
NMFC,7.829999923706055,3833246.1005163193,90
HCAT,1.9299999475479126,3811479.311493039,90
ATRA,9.920000076293945,3795387.058701515,90
SEGG,1.649999976158142,3793297.9741233587,90
CING,4.494999885559082,3788271.572535038,90
ARCT,7.300000190734863,3787019.9842596054,90
LILA,7.559999942779541,3784598.531475067,90
STIM,1.2899999618530273,3780866.438205242,90
FENC,8.699999809265137,3776640.865852833,90
ZURA,3.4000000953674316,3754755.341590643,90
STTK,4.579999923706055,3742024.177122116,90
OPK,1.440000057220459,3736797.6982939243,90
AURA,6.630000114440918,3710381.017923355,90
TARA,4.159999847412109,3693304.240131378,90
JFB,5.570000171661377,3681496.328794956,90
MOMO,5.610000133514404,3678945.1849603653,90
BRR,1.7300000190734863,3666390.6221807003,90
HRZN,4.599999904632568,3563115.1490569115,90
THRY,3.7200000286102295,3556675.423901081,90
EDSA,5.460000038146973,3554351.9301486015,90
TASK,5.739999771118164,3489529.5499539375,90
CTNT,1.7599999904632568,3465478.6770796776,90
AVXL,2.569999933242798,3445621.761162281,90
ORGO,2.4200000762939453,3413370.387607813,90
RBBN,2.8299999237060547,3398024.497476816,90
GLND,2.619999885559082,3374586.6463196278,53
SABS,3.380000114440918,3345768.2941889763,90
TRDA,6.369999885559082,3329318.2499837875,90
QNTM,4.260000228881836,3322439.003894329,90
IDN,4.119999885559082,3316794.7109413147,90
SUPX,8.899999618530273,3303380.687789917,90
RPGL,2.3299999237060547,3248635.222649765,90
IMPP,4.96999979019165,3238532.936952114,90
PLCE,3.5199999809265137,3230259.808704853,90
XGN,4.289999961853027,3215877.4695003033,90
NEOV,1.9600000381469727,3213008.1538164616,90
OPRT,4.75,3192868.0094218254,90
BBOT,7.809999942779541,3174555.169494152,90
NGEN,1.8600000143051147,3172022.8530859947,90
LIDR,1.7999999523162842,3166970.860684514,90
KVHI,7.519999980926514,3153388.5473036766,90
AMTX,2.25,3146247.4625074863,90
AIMD,1.9500000476837158,3145384.31976974,90
OSUR,4.039999961853027,3144610.812547207,90
IMMR,6.369999885559082,3138668.272819519,90
EQ,2.940000057220459,3136150.212340951,90
VWAV,5.239999771118164,3131864.8231601715,90
VFF,2.0899999141693115,3113334.7160851955,90
HDSN,5.360000133514404,3098558.4184980392,90
HELP,4.150000095367432,3047556.4335370064,90
QCLS,3.7100000381469727,3016635.713684559,90
TCPC,3.680000066757202,3008682.120116949,90
RKDA,1.0700000524520874,3004288.81164819,90
TJGC,6.940000057220459,2958891.261847305,90
SPAI,5.510000228881836,2953929.2077863216,90
TTGT,3.869999885559082,2928696.515748501,90
AUTL,1.5299999713897705,2919467.7440315485,90
ASBP,5.340000152587891,2859721.8920376897,90
CLNE,1.9299999475479126,2843924.8479664326,90
API,4.809999942779541,2823116.0154414177,90
OPRX,5.110000133514404,2817280.961794853,90
LPRO,2.109999895095825,2814931.205974221,90
AGPU,7.730000019073486,2777743.51572752,90
INGN,6.409999847412109,2766621.7918109894,90
AIXI,8.850000381469727,2757404.1081166267,90
NNBR,2.809999942779541,2743344.379053116,90
ZJYL,2.4700000286102295,2703847.6915180683,90
MDAI,1.8899999856948853,2695735.1569211483,90
RRGB,4.369999885559082,2692199.7557222843,90
CRDF,1.5,2684963.3995229006,90
VOXR,5.039999961853027,2677488.2629728317,90
PESI,9.630000114440918,2674857.2352313995,90
ELAB,1.5399999618530273,2664882.960431576,90
LAB,1.149999976158142,2636151.861397624,90
FLWS,4.340000152587891,2631731.4593553543,90
CVGI,4.760000228881836,2623760.9626293182,90
TYGO,3.2899999618530273,2615101.7322695255,90
CNDT,1.5299999713897705,2600308.8068139553,90
KRNY,8.3100004196167,2570517.774271965,90
SNDL,1.4199999570846558,2562271.11358881,90
SKYQ,1.8200000524520874,2539260.6003779173,90
SSP,3.4100000858306885,2531948.3016204834,90
EGAN,7.199999809265137,2522545.233654976,90
CRNT,2.859999895095825,2507389.8456573486,90
DOMO,3.4100000858306885,2479213.835697174,90
BNZI,3.009999990463257,2478541.845765114,90
CMRC,2.819999933242798,2461785.1347756386,90
NNOX,1.9299999475479126,2443513.845204711,90
WHWK,4.150000095367432,2439799.0991461277,90
NEXN,8.529999732971191,2437238.8058686256,90
SIGA,4.300000190734863,2431367.9550528526,90
IVA,4.03000020980835,2423769.1867613792,90
CDXS,2.559999942779541,2422333.438344002,90
MIST,1.2300000190734863,2393615.9731405973,90
VTIX,3.380000114440918,2382878.400937319,90
CHRS,1.4500000476837158,2378508.7862491608,90
NAKA,4.309999942779541,2348027.8274915456,90
ASLE,6.369999885559082,2347739.658329487,90
BYRN,5.920000076293945,2312365.288581848,90
OABI,2.4800000190734863,2305435.1249676943,90
TLSI,3.1700000762939453,2303016.5139722824,90
PMAX,2.0399999618530273,2300456.8068528175,90
SKK,4.010000228881836,2286523.594471216,90
CVRX,5.380000114440918,2282284.826145172,90
DTIL,6.5,2279808.855934143,90
FOFO,3.9000000953674316,2278485.9095692635,90
AGEN,3.2300000190734863,2276648.457006216,90
AIIR,6.909999847412109,2265586.1900782585,90
VYGR,3.3299999237060547,2260649.9359071255,90
SPRO,2.819999933242798,2242192.433041334,90
MASS,7.929999828338623,2222598.459677696,90
INNV,7.300000190734863,2218454.153828621,90
ACB,3.380000114440918,2217919.652018547,90
CRCT,4.139999866485596,2208305.08443594,90
QNCX,1.0099999904632568,2193194.9388080835,90
JRVR,3.9600000381469727,2184396.6572988033,90
VMD,9.970000267028809,2179410.501832962,90
PAL,6.389999866485596,2171785.00582695,90
KXIN,5.53000020980835,2154717.6736855507,90
CNTN,2.299999952316284,2132474.957305193,90
SY,1.9299999475479126,2130786.1546969414,90
HYPD,2.990000009536743,2119821.736652851,90
STEX,1.0800000429153442,2115163.404752016,90
IPSC,2.130000114440918,2109535.554254055,90
IMDX,5.239999771118164,2100814.905757904,90
SKYX,1.0700000524520874,2078085.8873575926,90
ALXO,1.5399999618530273,2066702.8284484148,90
RPAY,3.4700000286102295,2050540.9603822231,90
DAIC,2.4200000762939453,2031230.99250741,90
NMRA,1.6299999952316284,2030682.8624373674,90
NKLR,5.599999904632568,2021091.845664978,90
EVTV,1.7899999618530273,2020697.8203099966,90
BIRD,3.8299999237060547,2011687.5394237041,90
VFS,3.2100000381469727,2011327.0022916794,90
ONCO,1.0299999713897705,1989105.7799648643,90
AISP,2.759999990463257,1982820.4617881775,90
ALVO,3.5399999618530273,1982550.9533274174,90
TMCI,3.509999990463257,1962311.8062996864,90
ORGN,1.309999942779541,1952141.7854356766,90
CSHR,4.289999961853027,1950699.336194992,46
BAER,1.8899999856948853,1930250.7631254196,90
MLAA,9.920000076293945,1925995.3347206116,55
GEOS,7.699999809265137,1898040.7854413986,90
PROK,1.7999999523162842,1887792.6954752207,90
CHW,8.720000267028809,1847679.6913433075,90
CURI,2.7750000953674316,1811165.3717887402,90
PBYI,7.03000020980835,1804986.9872307777,90
EPRX,5.949999809265137,1791557.1954894066,90
SDA,1.149999976158142,1784216.2263655663,90
SSAC,10.0,1779937.462925911,69
TONX,3.109999895095825,1756096.854761839,90
SOBR,1.0199999809265137,1725656.1036473513,90
PRTH,5.820000171661377,1724226.856367588,90
ANL,9.949999809265137,1720415.5798768997,90
CMTL,4.71999979019165,1706473.1391239166,90
RMNI,4.150000095367432,1701153.399529457,90
ALDX,1.6299999952316284,1684466.8457639217,90
CNTX,1.75,1674035.6036674976,90
DERM,5.96999979019165,1662228.4981632233,90
MOB,5.889999866485596,1658093.195259571,90
PLBY,1.2999999523162842,1644220.7257211208,90
AVIR,4.25,1642515.4077601433,90
ACCL,1.5499999523162842,1640654.5448732376,90
SND,5.449999809265137,1633384.9880075455,90
NKTX,2.509999990463257,1622588.3581531048,90
ALEC,1.6349999904632568,1622051.7016369104,90
PPSI,4.199999809265137,1606557.5270426273,90
FRMM,5.090000152587891,1604200.9018182755,90
CGEN,2.0999999046325684,1596618.8403892517,90
KSCP,2.2899999618530273,1573595.397270918,90
JTAI,7.599999904632568,1564820.0401997566,90
WKEY,7.65500020980835,1561401.5787148476,90
LCUT,8.90999984741211,1561197.0564770699,90
CRE,3.109999895095825,1558069.35957551,90
ECX,1.2100000381469727,1553721.4772221446,90
BMEA,1.2699999809265137,1552976.6487199068,90
UCAR,1.350000023841858,1530573.9564824104,90
ANNA,3.0399999618530273,1529620.7025778294,90
UBXG,3.0299999713897705,1527610.619665432,90
BOOM,6.739999771118164,1526848.3484077454,90
TLX,9.300000190734863,1524961.1148452759,90
XNET,4.659999847412109,1522616.1295723915,90
TUSK,3.319999933242798,1520908.7086820602,90
TROO,2.240000009536743,1519040.8554136753,90
XFOR,3.8299999237060547,1514464.355303049,90
IBIO,1.8200000524520874,1513008.5041981936,90
RGP,4.53000020980835,1506403.9485526085,90
TRON,1.75,1505661.3481712341,90
WALD,1.7200000286102295,1502308.069858551,90
HOLO,1.7300000190734863,1493898.0567067862,90
CRMT,7.730000019073486,1478455.865187645,90
MXCT,1.1399999856948853,1465907.948808968,90
PDSB,1.0199999809265137,1461814.6542412043,90
MAKO,7.349999904632568,1460723.9539265633,90
PRLD,3.809999942779541,1446344.3535757065,90
CGTX,1.2899999618530273,1439649.3497174978,90
CD,5.329999923706055,1439352.7816557884,90
ECOR,8.720000267028809,1438556.2097978592,90
BNKK,1.559999942779541,1437717.9455894232,90
IVF,1.590000033378601,1435360.7478642464,90
PETZ,1.1799999475479126,1424585.5221650004,90
GASS,9.619999885559082,1419888.8080883026,90
PYXS,1.7799999713897705,1411766.8483167887,90
NIU,2.2699999809265137,1410568.3055233955,90
TURB,1.7300000190734863,1403644.048768878,90
CCLD,2.3499999046325684,1392160.396707058,90
DGNX,1.0,1378987.651887536,90
NBP,1.6449999809265137,1377764.2677921057,90
QH,3.390000104904175,1359908.9045751095,90
TTEC,2.180000066757202,1356964.4530189037,90
FNUC,1.9800000190734863,1323623.0647289753,90
SLN,6.170000076293945,1323499.8941659927,90
MRM,1.1299999952316284,1311144.4453948736,90
DIBS,4.090000152587891,1306067.8323888779,90
RCEL,4.179999828338623,1302907.5482463837,90
BTCS,1.2999999523162842,1301119.986511469,90
