symbol,last_close,avg_dollar_vol_20d,n_bars
QUBT,9.954999923706055,385228243.6891365,90
PLUG,3.2200000286102295,351397309.4350302,90
EOSE,7.079999923706055,267993746.43762112,90
AUR,6.309999942779541,236724945.70806265,90
SOUN,7.389999866485596,230069172.32892513,90
KEEL,5.130000114440918,226988026.53310418,90
QS,7.670000076293945,226284565.8672428,90
OPEN,4.420000076293945,185112422.0694685,90
RXT,4.704999923706055,182694405.77696085,90
PURR,8.529999732971191,168878190.39052248,90
GRAB,3.3399999141693115,165745755.5006671,90
HIVE,3.7699999809265137,144781594.13324714,90
SIDU,4.210000038146973,144461246.13960862,90
VNET,8.84000015258789,129480583.97577763,90
DGXX,6.039999961853027,128612529.95467186,90
JBLU,4.849999904632568,122555194.72292185,90
QUCY,2.200000047683716,118068789.05799016,90
IBRX,6.920000076293945,114326677.9530406,90
CRML,9.739999771118164,108422537.25101471,90
AIIO,2.940000057220459,107703350.1970315,90
WEN,6.710000038146973,106164866.2621069,90
FRSH,9.449999809265137,103084558.28701973,90
SATL,7.119999885559082,101470104.31150913,90
FRMI,5.78000020980835,101451915.45007467,90
QTEX,1.4199999570846558,100319451.29234806,90
PTON,5.769999980926514,97558352.45913982,90
SLS,8.229999542236328,93108293.8457036,90
LCID,5.114999771118164,91590471.71967745,90
LASE,3.0999999046325684,89951253.11224133,90
BULL,5.599999904632568,89763157.33234167,90
CODX,5.630000114440918,75963058.73568416,90
BLDP,4.920000076293945,69001090.86514473,90
RXRX,3.315000057220459,67833294.73996997,90
ENVX,7.28000020980835,66554988.85520458,90
MBLY,9.470000267028809,65642462.853040695,90
GTM,2.9800000190734863,64053991.645525694,90
APPS,9.010000228881836,63946453.788086176,90
NTSK,9.635000228881836,63794610.95559597,90
XRAY,10.0,63149030.97286701,90
REPL,9.470000267028809,62802374.63057995,90
KOPN,5.460000038146973,59657647.48097181,90
NVAX,9.489999771118164,59243072.49004364,90
HCWB,1.6299999952316284,59203793.252935864,90
LAES,3.200000047683716,58368757.17129707,90
INTR,5.670000076293945,56859770.279660225,90
VRRM,4.309999942779541,56477678.9751482,90
BTBT,1.6399999856948853,56278381.56272471,90
IOVA,4.230000019073486,55269861.84975982,90
AEHL,1.0199999809265137,54480700.43471217,90
PONY,8.619999885559082,54241544.16618347,90
GT,5.710000038146973,53861747.557098866,90
SLNH,1.340000033378601,50257699.15931165,90
SERV,7.75,50114769.952726364,90
MASK,3.825000047683716,49483753.91611695,90
ABCL,5.619999885559082,48792465.107524395,90
SBET,5.190000057220459,48781197.839860916,90
RR,2.4049999713897705,48113659.17900324,90
CCC,4.659999847412109,47796623.615698814,90
XOS,4.739999771118164,47672591.90662086,90
ARRY,8.09000015258789,47238594.74999905,90
CRSR,9.010000228881836,46550897.448461056,90
UPWK,8.760000228881836,45347340.04805088,90
RZLV,2.299999952316284,44432807.091840506,90
ASPI,6.710000038146973,44012161.4013648,90
TIGR,4.480000019073486,43962467.0687294,90
BCRX,8.40999984741211,42495952.365670204,90
DJT,8.270000457763672,39576614.589324,90
NUAI,4.849999904632568,39132765.903286934,90
LFST,7.409999847412109,38011771.123957634,90
ANY,4.039999961853027,37239057.98524797,90
HTZ,5.090000152587891,36786300.94394684,90
TMC,5.119999885559082,36590102.65885353,90
GOVX,1.649999976158142,36569285.00355244,90
REAL,8.869999885559082,36272681.83900833,90
CPSH,6.71999979019165,35196731.39817834,90
ADMA,7.96999979019165,33849658.50428343,90
MOBX,2.1600000858306885,33721271.73640311,90
ESPR,3.130000114440918,33454177.07287073,90
RUM,7.579999923706055,32635224.948880672,90
GSIT,8.010000228881836,32038562.08864212,90
NWL,3.7200000286102295,31306342.980110645,90
CLOV,3.8299999237060547,30812304.98598814,90
IMSR,7.550000190734863,29885147.280569077,90
MTVA,2.569999933242798,29668232.60501623,90
RKTO,1.5099999904632568,29535610.681668818,90
AMPG,5.179999828338623,29477744.3243289,90
GO,8.5600004196167,29469281.76817417,90
ABSI,6.400000095367432,28865490.527923107,90
ATPC,2.9800000190734863,28784552.67839551,90
INDI,4.050000190734863,28402314.208928347,90
VCIG,7.090000152587891,28377099.950972795,90
MRLN,8.600000381469727,26622864.693682194,90
WVE,5.730000019073486,25936112.49705553,90
NEOG,8.899999618530273,25168123.880467415,90
ULCC,5.940000057220459,23900233.216035366,90
PAYO,5.039999961853027,23826897.428474426,90
ATEC,8.0,23760039.554755688,90
WRD,6.599999904632568,23617458.2235384,90
NEXT,8.529999732971191,23578534.815342426,90
FOXX,5.059999942779541,23260919.75385785,90
OCUL,8.25,23132933.74625206,90
ODD,9.8100004196167,22955804.753303528,90
SBFM,2.4600000381469727,22629620.82702589,90
CERT,5.369999885559082,22505825.993053913,90
KURA,8.739999771118164,22025175.824451447,90
ABAT,3.109999895095825,21971748.252806664,90
NB,5.130000114440918,21855643.468635082,90
OMER,9.789999961853027,21781516.592679024,90
AMPL,7.659999847412109,21619553.174061775,90
VERU,3.4000000953674316,21606569.2867589,90
SLDP,2.940000057220459,21538121.84185624,90
ATAI,3.950000047683716,21439684.78388071,90
EVLV,5.909999847412109,21281404.038722515,90
DXST,4.139999866485596,21043549.101904035,90
PCLA,7.099999904632568,20911975.417859554,90
LZ,5.739999771118164,20596679.27292347,90
XRX,3.319999933242798,20358419.856231213,90
RMSG,1.8300000429153442,20278856.60161048,90
INV,5.849999904632568,20237392.831847668,90
AUUD,1.309999942779541,20089372.060590386,90
MNKD,3.4000000953674316,20041276.21548891,90
ARDX,5.559999942779541,20004903.102755547,90
BLMN,7.269999980926514,19954207.13668585,90
PGEN,3.5799999237060547,19820847.55805254,90
CADL,8.510000228881836,19016710.321817398,90
MQ,3.880000114440918,18706748.903484344,90
TLRY,4.940000057220459,18511893.59365225,90
CMND,3.9800000190734863,18139950.38449204,90
GERN,1.1699999570846558,17483706.247950196,90
BJDX,4.800000190734863,17333122.437391877,90
ASTI,6.449999809265137,17298612.959518433,90
DPRO,6.260000228881836,16679672.880735397,90
ATOM,8.260000228881836,16320051.773021221,90
WNW,2.9200000762939453,15926916.903475523,90
PRCH,9.260000228881836,15871111.903219223,90
GDYN,6.550000190734863,15666500.33213377,90
PSEC,2.2300000190734863,15531489.752604961,90
RPD,7.510000228881836,15452502.838172913,90
SVC,1.5700000524520874,15431018.06184113,90
AMST,1.350000023841858,15385435.413031578,90
ERNA,7.889999866485596,15284955.03305912,90
LFS,2.0299999713897705,15184388.591692448,90
RGNX,6.079999923706055,14997856.828353405,90
PDYN,6.869999885559082,14997485.146124363,90
SPRY,8.5600004196167,14952334.593513012,90
VIR,8.649999618530273,14945625.161738396,90
PUSA,5.159999847412109,14943616.925420761,90
ALLO,1.8799999952316284,14939877.321077585,90
MRVI,5.019999980926514,14926316.227207184,90
GEMI,4.184999942779541,14870520.593185425,90
DHC,8.529999732971191,14684654.191432,90
STAK,4.929999828338623,14646363.142156899,90
TBLA,4.579999923706055,14621983.13612938,90
SANA,2.680000066757202,14319971.193298101,90
EDHL,4.210000038146973,14290886.68269515,90
SLE,3.3299999237060547,14261632.571009398,90
OLOX,7.570000171661377,14111379.45093155,90
