cons_d,tp,horizon,alloc,events_total,trades_taken,trades_skipped,final_krw,total_return,annualized,win_rate,mean_ret,n_signals
30,2.0,180,25_pct,31,16,0,3321082.984491017,2.3210829844910172,1.3147087918182092,0.8709677419354839,0.5285827741632673,31
30,2.0,180,10_pct,31,16,0,1983287.8025429742,0.9832878025429743,0.614143482388049,0.8709677419354839,0.5285827741632673,31
30,2.4,30,ALL_IN,36,9,12,9187938.991912404,8.187938991912404,3.7153569459330305,0.6388888888888888,0.28215964002393257,36
30,2.4,30,25_pct,36,21,0,3734273.539372583,2.734273539372583,1.5124985337293677,0.6388888888888888,0.28215964002393257,36
30,2.4,30,10_pct,36,21,0,1906382.6821781357,0.9063826821781358,0.5701181667541224,0.6388888888888888,0.28215964002393257,36
30,2.4,60,ALL_IN,35,6,14,17340076.50874144,16.34007650874144,6.351674026593458,0.7428571428571429,0.5462812142314658,35
30,2.4,60,25_pct,35,20,0,7799157.2289432455,6.799157228943246,3.2048432590233915,0.7428571428571429,0.5462812142314658,35
30,2.4,60,10_pct,35,20,0,3104705.991810126,2.104705991810126,1.2081944229489232,0.7428571428571429,0.5462812142314658,35
30,2.4,90,ALL_IN,34,5,14,16484787.149097135,15.484787149097134,6.0961977555324145,0.7941176470588235,0.6265884225762193,34
30,2.4,90,25_pct,34,19,0,6854468.269236264,5.854468269236264,2.8418556784237974,0.7941176470588235,0.6265884225762193,34
30,2.4,90,10_pct,34,19,0,3027940.83554482,2.02794083554482,1.1698737910418542,0.7941176470588235,0.6265884225762193,34
30,2.4,180,ALL_IN,31,4,12,4413520.979132357,3.4135209791323566,1.82394054211279,0.8387096774193549,0.7531566836055108,31
30,2.4,180,25_pct,31,16,0,4472939.800930357,3.472939800930357,1.850470813512882,0.8387096774193549,0.7531566836055108,31
30,2.4,180,10_pct,31,16,0,2471596.8085776074,1.4715968085776074,0.8827090306339236,0.8387096774193549,0.7531566836055108,31
30,3.0,30,ALL_IN,36,9,12,6028545.663483775,5.028545663483775,2.5119710265939297,0.6111111111111112,0.2973555829044499,36
30,3.0,30,25_pct,36,21,0,3218490.9395750747,2.2184909395750747,1.2644753526355763,0.6111111111111112,0.2973555829044499,36
30,3.0,30,10_pct,36,21,0,1793345.0623566257,0.7933450623566256,0.5044242474749749,0.6111111111111112,0.2973555829044499,36
30,3.0,60,ALL_IN,35,6,14,7013630.203077277,6.013630203077277,2.9040176510983353,0.6857142857142857,0.5798312475491841,35
30,3.0,60,25_pct,35,20,0,5970968.126566134,4.9709681265661345,2.488483367822227,0.6857142857142857,0.5798312475491841,35
30,3.0,60,10_pct,35,20,0,2883399.7585681146,1.8833997585681148,1.0969157558229186,0.6857142857142857,0.5798312475491841,35
30,3.0,90,ALL_IN,34,5,14,61489186.17542234,60.48918617542234,16.815105335626438,0.7352941176470589,0.8141044485394149,34
30,3.0,90,25_pct,34,19,0,9405561.41710082,8.40556141710082,3.7931764612992724,0.7352941176470589,0.8141044485394149,34
30,3.0,90,10_pct,34,19,0,3730501.6692888844,2.7305016692888846,1.5107237527369368,0.7352941176470589,0.8141044485394149,34
30,3.0,180,ALL_IN,31,3,13,10583426.851116125,9.583426851116124,4.205389892540057,0.8387096774193549,1.0217259950366675,31
30,3.0,180,25_pct,31,16,0,5143781.363139965,4.143781363139965,2.143060251199335,0.8387096774193549,1.0217259950366675,31
30,3.0,180,10_pct,31,16,0,2841694.312019903,1.8416943120199032,1.07566174739754,0.8387096774193549,1.0217259950366675,31
30,5.0,30,ALL_IN,36,9,12,6239633.520916182,5.239633520916182,2.5975102539761035,0.5833333333333334,0.4169458657768417,36
30,5.0,30,25_pct,36,21,0,3533678.928265756,2.533678928265756,1.417346261478639,0.5833333333333334,0.4169458657768417,36
30,5.0,30,10_pct,36,21,0,1930084.476904383,0.930084476904383,0.5837425686259792,0.5833333333333334,0.4169458657768417,36
30,5.0,60,ALL_IN,35,6,14,11727408.148420004,10.727408148420004,4.592707628531892,0.6857142857142857,0.7458533875303432,35
30,5.0,60,25_pct,35,20,0,5793417.757146986,4.793417757146986,2.415621730331633,0.6857142857142857,0.7458533875303432,35
30,5.0,60,10_pct,35,20,0,2947604.1895075813,1.9476041895075813,1.1294559913304703,0.6857142857142857,0.7458533875303432,35
30,5.0,90,ALL_IN,34,3,16,4369195.153877824,3.3691951538778238,1.8040792341847354,0.7352941176470589,1.1034249293542562,34
30,5.0,90,25_pct,34,19,0,8881741.642694289,7.881741642694289,3.6049177414154405,0.7352941176470589,1.1034249293542562,34
30,5.0,90,10_pct,34,19,0,4100822.0954679134,3.1008220954679135,1.682501770618957,0.7352941176470589,1.1034249293542562,34
30,5.0,180,ALL_IN,31,2,14,2321646.1865655454,1.3216461865655456,0.8020918435645257,0.7741935483870968,1.7293382279589562,31
30,5.0,180,25_pct,31,16,0,6280523.289296472,5.280523289296473,2.6139787134822363,0.7741935483870968,1.7293382279589562,31
30,5.0,180,10_pct,31,16,0,3792375.138020878,2.792375138020878,1.5397694409066816,0.7741935483870968,1.7293382279589562,31
45,1.5,30,ALL_IN,32,15,6,38136393.47941461,37.136393479414615,11.756336864379396,0.78125,0.16380467663296316,32
45,1.5,30,25_pct,32,21,0,3194727.878771562,2.194727878771562,1.2527716430703304,0.78125,0.16380467663296316,32
45,1.5,30,10_pct,32,21,0,1664129.913517502,0.6641299135175018,0.4277808969221737,0.78125,0.16380467663296316,32
45,1.5,60,ALL_IN,31,11,9,19840182.191802286,18.840182191802285,7.077699099013481,0.8387096774193549,0.19266354588827342,31
45,1.5,60,25_pct,31,20,0,2943104.8651074097,1.9431048651074097,1.1271826276408068,0.8387096774193549,0.19266354588827342,31
45,1.5,60,10_pct,31,20,0,1629296.7536099665,0.6292967536099665,0.4068172415592226,0.8387096774193549,0.19266354588827342,31
45,1.5,90,ALL_IN,30,10,9,16144402.837323919,15.14440283732392,5.9934214712773235,0.8666666666666667,0.197312616685836,30
45,1.5,90,25_pct,30,19,0,2856418.9585331967,1.8564189585331965,1.0831763959395233,0.8666666666666667,0.197312616685836,30
45,1.5,90,10_pct,30,19,0,1629086.9694764472,0.6290869694764472,0.40669058114630263,0.8666666666666667,0.197312616685836,30
45,1.5,180,ALL_IN,27,7,9,7048745.15160447,6.04874515160447,2.9176747012094593,0.9629629629629629,0.28483261220484596,27
45,1.5,180,25_pct,27,16,0,2267163.8324953495,1.2671638324953496,0.7724158807946986,0.9629629629629629,0.28483261220484596,27
45,1.5,180,10_pct,27,16,0,1481869.214402384,0.48186921440238395,0.3165459584646795,0.9629629629629629,0.28483261220484596,27
45,2.0,30,ALL_IN,32,11,10,11819182.396397686,10.819182396397686,4.623274683906607,0.65625,0.18694986044343703,32
45,2.0,30,25_pct,32,21,0,2896871.531369041,1.8968715313690412,1.1037614674902434,0.65625,0.18694986044343703,32
45,2.0,30,10_pct,32,21,0,1631021.151127316,0.631021151127316,0.40785818742330493,0.65625,0.18694986044343703,32
45,2.0,60,ALL_IN,31,6,14,9976704.922892924,8.976704922892925,3.9948848638555887,0.8064516129032258,0.4189124404219162,31
45,2.0,60,25_pct,31,20,0,5520792.000343613,4.520792000343613,2.302420611046703,0.8064516129032258,0.4189124404219162,31
45,2.0,60,10_pct,31,20,0,2478303.882279997,1.4783038822799974,0.8862799822151157,0.8064516129032258,0.4189124404219162,31
45,2.0,90,ALL_IN,30,5,14,14311093.540230583,13.311093540230583,5.4281411014616285,0.8,0.44697517299755934,30
45,2.0,90,25_pct,30,19,0,5057973.292168938,4.0579732921689375,2.1063052210477684,0.8,0.44697517299755934,30
45,2.0,90,10_pct,30,19,0,2420752.456513876,1.4207524565138763,0.8555431237094773,0.8,0.44697517299755934,30
45,2.0,180,ALL_IN,27,3,13,5586036.901571831,4.5860369015718305,2.3296621316979236,0.8888888888888888,0.5558159299003976,27
45,2.0,180,25_pct,27,16,0,3321082.984491017,2.3210829844910172,1.3147087918182092,0.8888888888888888,0.5558159299003976,27
45,2.0,180,10_pct,27,16,0,1983287.8025429742,0.9832878025429743,0.614143482388049,0.8888888888888888,0.5558159299003976,27
45,2.4,30,ALL_IN,32,9,12,9187938.991912404,8.187938991912404,3.7153569459330305,0.65625,0.295077600738126,32
45,2.4,30,25_pct,32,21,0,3734273.539372583,2.734273539372583,1.5124985337293677,0.65625,0.295077600738126,32
45,2.4,30,10_pct,32,21,0,1906382.6821781357,0.9063826821781358,0.5701181667541224,0.65625,0.295077600738126,32
45,2.4,60,ALL_IN,31,6,14,17340076.50874144,16.34007650874144,6.351674026593458,0.7741935483870968,0.5886084238567364,31
45,2.4,60,25_pct,31,20,0,7799157.2289432455,6.799157228943246,3.2048432590233915,0.7741935483870968,0.5886084238567364,31
45,2.4,60,10_pct,31,20,0,3104705.991810126,2.104705991810126,1.2081944229489232,0.7741935483870968,0.5886084238567364,31
45,2.4,90,ALL_IN,30,5,14,16484787.149097135,15.484787149097134,6.0961977555324145,0.8,0.6583177975497239,30
45,2.4,90,25_pct,30,19,0,6854468.269236264,5.854468269236264,2.8418556784237974,0.8,0.6583177975497239,30
45,2.4,90,10_pct,30,19,0,3027940.83554482,2.02794083554482,1.1698737910418542,0.8,0.6583177975497239,30
45,2.4,180,ALL_IN,27,4,12,4413520.979132357,3.4135209791323566,1.82394054211279,0.8888888888888888,0.8138622310398888,27
45,2.4,180,25_pct,27,16,0,4472939.800930357,3.472939800930357,1.850470813512882,0.8888888888888888,0.8138622310398888,27
45,2.4,180,10_pct,27,16,0,2471596.8085776074,1.4715968085776074,0.8827090306339236,0.8888888888888888,0.8138622310398888,27
45,3.0,30,ALL_IN,32,9,12,6028545.663483775,5.028545663483775,2.5119710265939297,0.625,0.31217303647870803,32
45,3.0,30,25_pct,32,21,0,3218490.9395750747,2.2184909395750747,1.2644753526355763,0.625,0.31217303647870803,32
45,3.0,30,10_pct,32,21,0,1793345.0623566257,0.7933450623566256,0.5044242474749749,0.625,0.31217303647870803,32
45,3.0,60,ALL_IN,31,6,14,7013630.203077277,6.013630203077277,2.9040176510983353,0.7096774193548387,0.6468304156523889,31
45,3.0,60,25_pct,31,20,0,5970968.126566134,4.9709681265661345,2.488483367822227,0.7096774193548387,0.6468304156523889,31
45,3.0,60,10_pct,31,20,0,2883399.7585681146,1.8833997585681148,1.0969157558229186,0.7096774193548387,0.6468304156523889,31
45,3.0,90,ALL_IN,30,5,14,61489186.17542234,60.48918617542234,16.815105335626438,0.7333333333333333,0.8528179425222013,30
45,3.0,90,25_pct,30,19,0,9405561.41710082,8.40556141710082,3.7931764612992724,0.7333333333333333,0.8528179425222013,30
45,3.0,90,10_pct,30,19,0,3730501.6692888844,2.7305016692888846,1.5107237527369368,0.7333333333333333,0.8528179425222013,30
45,3.0,180,ALL_IN,27,3,13,10583426.851116125,9.583426851116124,4.205389892540057,0.8888888888888888,1.0836810510643238,27
45,3.0,180,25_pct,27,16,0,5143781.363139965,4.143781363139965,2.143060251199335,0.8888888888888888,1.0836810510643238,27
45,3.0,180,10_pct,27,16,0,2841694.312019903,1.8416943120199032,1.07566174739754,0.8888888888888888,1.0836810510643238,27
45,5.0,30,ALL_IN,32,9,12,6239633.520916182,5.239633520916182,2.5975102539761035,0.59375,0.44671210471014877,32
45,5.0,30,25_pct,32,21,0,3533678.928265756,2.533678928265756,1.417346261478639,0.59375,0.44671210471014877,32
45,5.0,30,10_pct,32,21,0,1930084.476904383,0.930084476904383,0.5837425686259792,0.59375,0.44671210471014877,32
45,5.0,60,ALL_IN,31,6,14,11727408.148420004,10.727408148420004,4.592707628531892,0.7096774193548387,0.8342747672440199,31
45,5.0,60,25_pct,31,20,0,5793417.757146986,4.793417757146986,2.415621730331633,0.7096774193548387,0.8342747672440199,31
45,5.0,60,10_pct,31,20,0,2947604.1895075813,1.9476041895075813,1.1294559913304703,0.7096774193548387,0.8342747672440199,31
45,5.0,90,ALL_IN,30,3,16,4369195.153877824,3.3691951538778238,1.8040792341847354,0.7333333333333333,1.1774111873352318,30
45,5.0,90,25_pct,30,19,0,8881741.642694289,7.881741642694289,3.6049177414154405,0.7333333333333333,1.1774111873352318,30
45,5.0,90,10_pct,30,19,0,4100822.0954679134,3.1008220954679135,1.682501770618957,0.7333333333333333,1.1774111873352318,30
45,5.0,180,ALL_IN,27,2,14,2321646.1865655454,1.3216461865655456,0.8020918435645257,0.8148148148148148,1.7676629340854557,27
45,5.0,180,25_pct,27,16,0,6280523.289296472,5.280523289296473,2.6139787134822363,0.8148148148148148,1.7676629340854557,27
45,5.0,180,10_pct,27,16,0,3792375.138020878,2.792375138020878,1.5397694409066816,0.8148148148148148,1.7676629340854557,27
60,1.5,30,ALL_IN,25,13,4,23424841.149049584,22.424841149049584,8.072439849234202,0.84,0.20009101682712682,25
60,1.5,30,25_pct,25,17,0,2612966.85262107,1.6129668526210703,0.9573752268872082,0.84,0.20009101682712682,25
60,1.5,30,10_pct,25,17,0,1515616.750377584,0.5156167503775839,0.3374396517203935,0.84,0.20009101682712682,25
60,1.5,60,ALL_IN,24,9,7,11606483.928533232,10.606483928533232,4.5523215516367666,0.8333333333333334,0.19096410840222347,24
60,1.5,60,25_pct,24,16,0,2383561.6540861716,1.3835616540861717,0.8355634892126056,0.8333333333333334,0.19096410840222347,24
60,1.5,60,10_pct,24,16,0,1477426.4039046243,0.4774264039046243,0.3137847301479457,0.8333333333333334,0.19096410840222347,24
60,1.5,90,ALL_IN,23,8,7,9444457.226032397,8.444457226032396,3.8070278774551785,0.8695652173913043,0.1927525442477705,23
60,1.5,90,25_pct,23,15,0,2317236.512808338,1.3172365128083379,0.7996977901203186,0.8695652173913043,0.1927525442477705,23
60,1.5,90,10_pct,23,15,0,1478310.0207503426,0.47831002075034257,0.3143341010456555,0.8695652173913043,0.1927525442477705,23
60,1.5,180,ALL_IN,21,6,7,5029316.2915084865,4.029316291508486,2.0939886029827677,0.9523809523809523,0.28124286610623367,21
60,1.5,180,25_pct,21,13,0,1940214.7160279676,0.9402147160279677,0.589550322252663,0.9523809523809523,0.28124286610623367,21
60,1.5,180,10_pct,21,13,0,1374257.0472270574,0.37425704722705744,0.248940594258247,0.9523809523809523,0.28124286610623367,21
60,2.0,30,ALL_IN,25,9,8,5422617.787460633,4.4226177874606325,2.2612469336573127,0.68,0.1991006235877621,25
60,2.0,30,25_pct,25,17,0,1972613.7420407624,0.9726137420407623,0.6080640840680345,0.68,0.1991006235877621,25
60,2.0,30,10_pct,25,17,0,1375537.474095027,0.375537474095027,0.2497541552517739,0.68,0.1991006235877621,25
60,2.0,60,ALL_IN,24,4,12,4093666.2946163137,3.0936662946163134,1.6792278832712024,0.8333333333333334,0.4411871015450191,24
60,2.0,60,25_pct,24,16,0,3608034.4037583666,2.6080344037583667,1.452801717911726,0.8333333333333334,0.4411871015450191,24
60,2.0,60,10_pct,24,16,0,2024397.3414125284,1.0243973414125285,0.637466114059968,0.8333333333333334,0.4411871015450191,24
60,2.0,90,ALL_IN,23,4,11,6887307.4605388995,5.887307460538899,2.8547165300962196,0.8260869565217391,0.45428791957400944,23
60,2.0,90,25_pct,23,15,0,3218222.881737248,2.218222881737248,1.2643434748583777,0.8260869565217391,0.45428791957400944,23
60,2.0,90,10_pct,23,15,0,1941476.2353522563,0.9414762353522563,0.5902729228253052,0.8260869565217391,0.45428791957400944,23
60,2.0,180,ALL_IN,21,3,10,3935803.2756105834,2.935803275610583,1.6065580636404406,0.9047619047619048,0.5760531197039215,21
60,2.0,180,25_pct,21,13,0,2335261.0252965256,1.3352610252965254,0.8094748551575921,0.9047619047619048,0.5760531197039215,21
60,2.0,180,10_pct,21,13,0,1668904.4656123177,0.6689044656123178,0.4306440340408544,0.9047619047619048,0.5760531197039215,21
60,2.4,30,ALL_IN,25,8,9,6883308.892598683,5.883308892598683,2.8531515538808105,0.68,0.3115825782914496,25
60,2.4,30,25_pct,25,17,0,2401607.120603347,1.4016071206033471,0.845269491272735,0.68,0.3115825782914496,25
60,2.4,30,10_pct,25,17,0,1540532.813941231,0.5405328139412311,0.35277590189076014,0.68,0.3115825782914496,25
60,2.4,60,ALL_IN,24,4,12,5917106.991708684,4.917106991708684,2.4664500036259263,0.7916666666666666,0.6044895753533751,24
60,2.4,60,25_pct,24,16,0,4872908.068867244,3.872908068867244,2.026388736402606,0.7916666666666666,0.6044895753533751,24
60,2.4,60,10_pct,24,16,0,2425855.7794108707,1.4258557794108708,0.8582775013818233,0.7916666666666666,0.6044895753533751,24
60,2.4,90,ALL_IN,23,4,11,12580847.282552334,11.580847282552334,4.8742744583103335,0.8260869565217391,0.6551525959959329,23
60,2.4,90,25_pct,23,15,0,4084358.3791065835,3.0843583791065834,1.6749667940167905,0.8260869565217391,0.6551525959959329,23
60,2.4,90,10_pct,23,15,0,2291592.6115468536,1.2915926115468537,0.7857482038639019,0.8260869565217391,0.6551525959959329,23
60,2.4,180,ALL_IN,21,3,10,6844382.158904662,5.844382158904662,2.837901925692426,0.9047619047619048,0.8534407044197702,21
60,2.4,180,25_pct,21,13,0,2911698.8335357686,1.9116988335357687,1.111284935645461,0.9047619047619048,0.8534407044197702,21
60,2.4,180,10_pct,21,13,0,1980342.8741637343,0.9803428741637343,0.6124671871007172,0.9047619047619048,0.8534407044197702,21
60,3.0,30,ALL_IN,25,8,9,4516392.850607941,3.516392850607941,1.8698053558758048,0.68,0.3642332010887447,25
60,3.0,30,25_pct,25,17,0,2359012.686199585,1.359012686199585,0.8223239226207402,0.68,0.3642332010887447,25
60,3.0,30,10_pct,25,17,0,1550053.8519577123,0.5500538519577123,0.3586165200477873,0.68,0.3642332010887447,25
60,3.0,60,ALL_IN,24,4,12,1910765.604976426,0.9107656049764261,0.5726414058565972,0.75,0.6742337408542233,24
60,3.0,60,25_pct,24,16,0,4401324.564118506,3.4013245641185064,1.8184816367150498,0.75,0.6742337408542233,24
60,3.0,60,10_pct,24,16,0,2438425.9646906266,1.4384259646906266,0.8650052822107337,0.75,0.6742337408542233,24
60,3.0,90,ALL_IN,23,4,11,27141380.753894515,26.141380753894516,9.056428907849153,0.782608695652174,0.8709416286166234,23
60,3.0,90,25_pct,23,15,0,5690752.527665447,4.690752527665447,2.3731846539905193,0.782608695652174,0.8709416286166234,23
60,3.0,90,10_pct,23,15,0,2893248.8372092224,1.8932488372092222,1.1019215302740024,0.782608695652174,0.8709416286166234,23
60,3.0,180,ALL_IN,21,3,10,13452888.963964364,12.452888963964364,5.156103284192824,0.9047619047619048,1.1373594626710875,21
60,3.0,180,25_pct,21,13,0,3911308.7600254123,2.9113087600254124,1.5952044892966564,0.9047619047619048,1.1373594626710875,21
60,3.0,180,10_pct,21,13,0,2398114.715979183,1.3981147159791831,0.8433927699916353,0.9047619047619048,1.1373594626710875,21
60,5.0,30,ALL_IN,25,7,10,1136738.8611402605,0.13673886114026046,0.09375447572978635,0.64,0.47032750803004164,25
60,5.0,30,25_pct,25,17,0,1986857.541315928,0.9868575413159282,0.6161744253022214,0.64,0.47032750803004164,25
60,5.0,30,10_pct,25,17,0,1474160.7881966121,0.4741607881966121,0.31175354148194767,0.64,0.47032750803004164,25
60,5.0,60,ALL_IN,24,4,12,1910765.604976426,0.9107656049764261,0.5726414058565972,0.75,0.7514091642483748,24
60,5.0,60,25_pct,24,16,0,3147859.2821426746,2.1478592821426745,1.229610988261907,0.75,0.7514091642483748,24
60,5.0,60,10_pct,24,16,0,2186940.190409649,1.1869401904096493,0.7283250425518386,0.75,0.7514091642483748,24
60,5.0,90,ALL_IN,23,2,13,1764006.3757049656,0.7640063757049655,0.48717205564946275,0.782608695652174,1.0738728908782869,23
60,5.0,90,25_pct,23,15,0,4125809.066986776,3.1258090669867755,1.6939202425867186,0.782608695652174,1.0738728908782869,23
60,5.0,90,10_pct,23,15,0,2768010.455063713,1.7680104550637128,1.0378798843682167,0.782608695652174,1.0738728908782869,23
60,5.0,180,ALL_IN,21,2,11,17460823.93225223,16.46082393225223,6.387432733721628,0.8095238095238095,1.761442751073771,21
60,5.0,180,25_pct,21,13,0,5335201.574028265,4.335201574028265,2.2243960397500246,0.8095238095238095,1.761442751073771,21
60,5.0,180,10_pct,21,13,0,3097575.6369837727,2.097575636983773,1.2046471022740377,0.8095238095238095,1.761442751073771,21
