cons_d,tp,horizon,alloc,events_total,trades_taken,trades_skipped,final_krw,total_return,annualized,win_rate,mean_ret,n_signals
30,1.5,30,ALL_IN,36,15,6,38136393.47941461,37.136393479414615,11.756336864379396,0.8055555555555556,0.1760732024120069,36
30,1.5,30,25_pct,36,21,0,3194727.878771562,2.194727878771562,1.2527716430703304,0.8055555555555556,0.1760732024120069,36
30,1.5,30,10_pct,36,21,0,1664129.913517502,0.6641299135175018,0.4277808969221737,0.8055555555555556,0.1760732024120069,36
30,1.5,60,ALL_IN,35,11,9,19840182.191802286,18.840182191802285,7.077699099013481,0.8571428571428571,0.2019844444889687,35
30,1.5,60,25_pct,35,20,0,2943104.8651074097,1.9431048651074097,1.1271826276408068,0.8571428571428571,0.2019844444889687,35
30,1.5,60,10_pct,35,20,0,1629296.7536099665,0.6292967536099665,0.4068172415592226,0.8571428571428571,0.2019844444889687,35
30,1.5,90,ALL_IN,34,10,9,16144402.837323919,15.14440283732392,5.9934214712773235,0.8823529411764706,0.2063607098574267,34
30,1.5,90,25_pct,34,19,0,2856418.9585331967,1.8564189585331965,1.0831763959395233,0.8823529411764706,0.2063607098574267,34
30,1.5,90,10_pct,34,19,0,1629086.9694764472,0.6290869694764472,0.40669058114630263,0.8823529411764706,0.2063607098574267,34
30,1.5,180,ALL_IN,31,7,9,7048745.15160447,6.04874515160447,2.9176747012094593,0.967741935483871,0.2834634246486538,31
30,1.5,180,25_pct,31,16,0,2267163.8324953495,1.2671638324953496,0.7724158807946986,0.967741935483871,0.2834634246486538,31
30,1.5,180,10_pct,31,16,0,1481869.214402384,0.48186921440238395,0.3165459584646795,0.967741935483871,0.2834634246486538,31
30,2.0,30,ALL_IN,36,11,10,11819182.396397686,10.819182396397686,4.623274683906607,0.6388888888888888,0.18697201810142128,36
30,2.0,30,25_pct,36,21,0,2896871.531369041,1.8968715313690412,1.1037614674902434,0.6388888888888888,0.18697201810142128,36
30,2.0,30,10_pct,36,21,0,1631021.151127316,0.631021151127316,0.40785818742330493,0.6388888888888888,0.18697201810142128,36
30,2.0,60,ALL_IN,35,6,14,9976704.922892924,8.976704922892925,3.9948848638555887,0.7714285714285715,0.3978259037448685,35
30,2.0,60,25_pct,35,20,0,5520792.000343613,4.520792000343613,2.302420611046703,0.7714285714285715,0.3978259037448685,35
30,2.0,60,10_pct,35,20,0,2478303.882279997,1.4783038822799974,0.8862799822151157,0.7714285714285715,0.3978259037448685,35
30,2.0,90,ALL_IN,34,5,14,14311093.540230583,13.311093540230583,5.4281411014616285,0.7941176470588235,0.4456914255632574,34
30,2.0,90,25_pct,34,19,0,5057973.292168938,4.0579732921689375,2.1063052210477684,0.7941176470588235,0.4456914255632574,34
30,2.0,90,10_pct,34,19,0,2420752.456513876,1.4207524565138763,0.8555431237094773,0.7941176470588235,0.4456914255632574,34
30,2.0,180,ALL_IN,31,3,13,5586036.901571831,4.5860369015718305,2.3296621316979236,0.8709677419354839,0.5285827741632673,31
