trigger_min,minute_return,daily_max_x_open,is_winner,reached_100pct,symbol,date
33,0.1,3.821138211382114,1,1,ABTS,2025-05-09
7,0.1,2.558139534883721,1,1,ABTS,2026-02-20
63,-0.05,2.0443037974683542,0,1,ABTS,2026-06-01
21,-0.05,2.2900763358778624,0,1,AEHL,2025-11-24
36,-0.05,2.3638092650455103,0,1,AEHL,2026-02-26
14,-0.05,2.0653061224489795,0,1,AEHL,2026-05-12
25,-0.05,2.254054054054054,0,1,AGPU,2026-04-01
17,-0.05,1.3297872340425532,0,0,AIMD,2025-01-10
8,-0.05,1.46815660685155,0,0,AIMD,2025-08-06
26,-0.05,2.5358823529411767,0,1,AIMD,2026-05-26
35,-0.05,2.441441441441442,0,1,AIXI,2026-04-07
34,0.1,1.7367205542725173,1,0,ALLO,2025-02-18
0,-0.05,1.3595628415300545,0,0,ALVO,2024-10-17
68,0.1,2.2880463576158943,1,1,ANTX,2026-03-09
24,-0.05,1.603125,0,0,APPS,2025-02-06
61,-0.05,1.3386454183266934,0,0,AREC,2025-04-17
4,0.1,2.491852315394243,1,1,ARTL,2026-03-27
23,0.11185757473967062,2.161572052401747,1,1,ARTV,2025-04-07
7,-0.05,3.5645161290322576,0,1,BIRD,2026-04-15
71,-0.024390243902439046,1.326219512195122,0,0,BNRG,2026-04-22
5,0.1,2.431896162528217,1,1,BRAI,2026-02-25
14,-0.05,2.064509261230573,0,1,BRAI,2026-03-03
17,0.1,1.4920452681646712,1,0,BRAI,2026-03-17
16,-0.05,2.15661252900232,0,1,BRAI,2026-05-26
68,-0.05,2.3457446808510642,0,1,BTCS,2024-11-12
55,0.1,1.459016393442623,1,0,BZAI,2026-03-26
68,-0.0625,1.3187499999999999,0,0,CCLD,2024-06-24
78,-0.05,2.0,0,1,CING,2024-07-10
82,0.1,1.6113744075829384,1,0,CING,2024-08-12
54,-0.05,2.557692307692308,0,1,CNCK,2025-12-01
4,-0.05,1.3269961977186313,0,0,CODX,2026-01-14
61,-0.05,1.438063492063492,0,0,CODX,2026-05-21
33,-0.05,2.0506912442396317,0,1,DGNX,2025-01-28
29,-0.05,2.5183603757472244,0,1,DXST,2026-03-04
13,-0.05,2.31105559025609,0,1,DXST,2026-03-06
53,0.1,1.652027027027027,1,0,DXST,2026-03-10
98,0.1,2.041208791208791,1,1,EDSA,2026-03-06
1,-0.05,2.1889126814180346,0,1,EEIQ,2025-07-09
6,-0.05,2.6513569937369517,0,1,EEIQ,2026-03-26
8,0.1,2.128686327077748,1,1,ERNA,2026-05-12
94,0.1,1.6263736263736266,1,0,EVTV,2025-09-12
58,0.1,2.2782608695652176,1,1,EVTV,2026-01-12
1,-0.05,3.58,0,1,FATN,2025-04-08
50,-0.05,1.3429501084598696,0,0,FATN,2025-05-16
10,0.1,2.8380952380952382,1,1,FOFO,2025-09-12
49,-0.05,2.4999999999999996,0,1,FOFO,2026-06-01
11,-0.05,3.767123287671233,0,1,FOXX,2025-01-30
12,0.14490161001788926,2.2186046511627904,1,1,FOXX,2025-11-21
9,-0.05,2.42,0,1,GSIT,2025-10-20
10,-0.05,1.8580375782881002,0,0,GXAI,2024-09-20
75,0.1,2.0053475935828877,1,1,GXAI,2024-12-10
9,0.1,3.8365384615384617,1,1,HCWB,2026-05-20
120,0.1,2.06282722513089,1,1,HOLO,2025-05-28
46,-0.05,1.3118686868686869,0,0,HTCO,2025-08-25
19,0.1,1.5250000000000001,1,0,HTCO,2026-05-04
92,-0.05,1.3916666666666666,0,0,IFRX,2026-04-17
73,-0.05,1.3119533527696792,0,0,INDP,2025-10-02
65,0.1,2.785,1,1,INDP,2026-06-04
48,-0.05,1.387931034482759,0,0,JZXN,2026-05-13
46,0.1,2.017094017094017,1,1,JZXN,2026-06-01
53,0.1,2.2644230769230766,1,1,LASE,2024-10-08
79,-0.05,2.5815217391304346,0,1,LESL,2026-05-14
89,-0.05,1.3487654320987654,0,0,LFS,2025-10-17
11,-0.05,7.137142857142857,0,1,LFS,2025-11-11
15,0.1,2.277142857142857,1,1,LFS,2025-11-18
17,0.1,1.8354430379746833,1,0,LFS,2025-11-20
13,-0.05,1.3593950177935943,0,0,LFS,2026-01-26
14,0.1,1.6073825503355705,1,0,LICN,2025-12-05
27,0.1,1.7540983606557377,1,0,LRMR,2026-02-25
24,-0.05,2.0368098159509205,0,1,MASK,2026-03-31
19,-0.05,3.60857908847185,0,1,MASK,2026-05-28
113,0.1,2.707514198339886,1,1,MOBX,2026-03-03
45,-0.05,2.5180494905385733,0,1,MTVA,2025-09-15
33,-0.05,1.3541666666666667,0,0,MVST,2024-12-04
22,-0.05,2.83,0,1,NAMM,2026-01-21
31,-0.05,2.439252336448598,0,1,NAMM,2026-01-22
47,0.1,2.069620253164557,1,1,NEXR,2026-05-29
64,-0.05,1.4825581395348837,0,0,NUAI,2025-09-26
84,-0.05,2.0384615384615383,0,1,NUAI,2025-10-09
10,-0.05,1.3896907216494847,0,0,OPRX,2025-03-12
7,-0.05,1.576354679802956,0,0,ORGO,2025-02-28
9,0.1,2.5268817204301075,1,1,PCLA,2025-12-23
36,-0.05,1.3244414804934979,0,0,PCLA,2026-01-06
62,0.1,1.4666666666666668,1,0,PDSB,2025-02-26
48,-0.05,1.622340425531915,0,0,PDYN,2024-10-08
39,-0.05,2.2747747747747744,0,1,PDYN,2024-11-22
76,-0.014041514041513992,1.3730158730158732,0,0,PGEN,2025-11-14
106,0.1,1.5310391363022942,1,0,PONY,2025-04-28
47,-0.05,3.874015748031496,0,1,PROK,2025-07-08
26,-0.05,1.4386694386694387,0,0,PSIG,2026-02-02
102,-0.05,1.4687306501547988,0,0,QNCX,2026-02-18
106,-0.05,1.3643561643835616,0,0,QNTM,2026-04-27
47,0.1,2.0894736842105264,1,1,QUCY,2026-05-14
40,0.14400025005469952,2.0032507110930515,1,1,QUCY,2026-05-15
73,-0.05,1.367816091954023,0,0,RMSG,2024-12-11
17,-0.05,2.1920903954802258,0,1,RMSG,2025-08-06
84,-0.05,2.347118978192123,0,1,RYOJ,2025-10-21
17,-0.05,3.333333333333333,0,1,RYOJ,2026-05-22
11,-0.05,2.1374045801526718,0,1,SBET,2024-12-06
87,-0.05,1.3517915309446256,0,0,SBET,2025-05-09
37,-0.05,3.7500000000000004,0,1,SEGG,2026-01-20
73,0.1,2.1007025761124125,1,1,SERV,2024-07-19
13,0.1,1.848708487084871,1,0,SIDU,2024-08-19
