trigger_min,minute_return,daily_max_x_open,is_winner,reached_100pct,symbol,date
105,-0.05,3.0535714285714284,0,1,SIDU,2024-12-16
9,0.1,3.496598639455782,1,1,SKK,2024-12-26
44,0.1,1.5057283142389524,1,0,SKK,2025-05-28
5,0.1,10.169971671388103,1,1,SKK,2026-05-04
8,-0.05,2.4808184143222505,0,1,SKYQ,2025-06-16
27,0.048446745562130245,1.4198717948717947,1,0,SLDP,2025-11-05
27,-0.05,1.438095238095238,0,0,SLS,2025-01-27
8,-0.05,2.1183800623052957,0,1,SOBR,2025-04-04
32,-0.05,2.125,0,1,SPHL,2025-09-30
76,0.1,3.210997442455243,1,1,SPHL,2026-01-15
4,-0.05,4.481171548117155,0,1,SPHL,2026-06-05
10,-0.05,4.2153846153846155,0,1,SPPL,2024-11-04
40,-0.05,1.435483870967742,0,0,SPPL,2024-11-15
23,-0.05,2.144,0,1,STAK,2025-04-14
27,0.1,2.03125,1,1,STAK,2026-06-03
49,0.1,2.1103117505995206,1,1,STAK,2026-06-05
1,0.1,2.7725490196078435,1,1,TJGC,2026-06-03
12,-0.05,1.4549549549549547,0,0,TRAW,2026-05-11
19,-0.05,3.282504012841091,0,1,TURB,2025-09-16
28,-0.05,2.4846153846153847,0,1,TURB,2026-03-03
52,0.1,2.710843373493976,1,1,TYGO,2025-11-21
8,-0.05,2.3157337567817917,0,1,UCAR,2026-03-17
32,-0.05,2.013913043478261,0,1,VCIG,2026-05-29
39,-0.05,3.0707317073170732,0,1,VWAV,2025-07-28
17,-0.05,1.4023372781065089,0,0,WALD,2024-08-28
28,-0.05,2.2633228840125392,0,1,WCT,2026-06-03
89,0.1,2.465168539325843,1,1,WGRX,2026-05-18
6,0.1,2.53939393939394,1,1,WKEY,2024-12-13
53,0.1,4.615384615384616,1,1,WTF,2025-04-01
27,0.1,1.4990999999999999,1,0,WTF,2025-06-17
14,-0.05,2.065440180586908,0,1,XOS,2025-02-20
106,0.1,2.3364779874213832,1,1,XTIA,2025-06-11
80,0.1,3.888888888888889,1,1,ZENA,2024-11-25
