status,rth_open,trigger_minute,symbol,date,exit_reason,entry_time,exit_time,entry_price,exit_price,minute_return,bars_held
ok,,7.0,ABTS,2026-02-20,tp,2026-02-20 09:47:00-05:00,2026-02-20 09:47:00-05:00,2.795,3.0745,0.10000000000000009,0.0
ok,,21.0,AEHL,2025-11-24,sl,2025-11-24 09:51:00-05:00,2025-11-24 09:51:00-05:00,10.218,9.707099999999999,-0.050000000000000155,0.0
ok,,14.0,AEHL,2026-05-12,sl,2026-05-12 09:44:00-04:00,2026-05-12 09:45:00-04:00,1.5925000000000002,1.5128750000000002,-0.050000000000000044,1.0
ok,,25.0,AGPU,2026-04-01,sl,2026-04-01 09:58:00-04:00,2026-04-01 09:59:00-04:00,2.4050000000000002,2.2847500000000003,-0.04999999999999993,1.0
ok,,17.0,AIMD,2025-01-10,sl,2025-01-10 09:47:00-05:00,2025-01-10 09:47:00-05:00,4.888,4.643599999999999,-0.050000000000000155,0.0
ok,,8.0,AIMD,2025-08-06,sl,2025-08-06 09:38:00-04:00,2025-08-06 09:40:00-04:00,3.9845,3.785275,-0.050000000000000044,2.0
ok,,26.0,AIMD,2026-05-26,sl,2026-05-26 11:07:00-04:00,2026-05-26 11:07:00-04:00,1.989,1.88955,-0.050000000000000044,0.0
ok,,0.0,ALVO,2024-10-17,sl,2024-10-17 09:30:00-04:00,2024-10-17 09:30:00-04:00,11.895000000000001,11.30025,-0.050000000000000044,0.0
ok,,24.0,APPS,2025-02-06,sl,2025-02-06 09:54:00-05:00,2025-02-06 10:18:00-05:00,4.16,3.952,-0.050000000000000044,24.0
ok,,4.0,ARTL,2026-03-27,tp,2026-03-27 09:52:00-04:00,2026-03-27 09:52:00-04:00,10.387,11.4257,0.10000000000000009,0.0
ok,,23.0,ARTV,2025-04-07,tp_gap,2025-04-07 10:12:00-04:00,2025-04-07 10:33:00-04:00,2.9770000000000003,3.31,0.11185757473967062,21.0
ok,,7.0,BIRD,2026-04-15,sl,2026-04-15 09:41:00-04:00,2026-04-15 09:41:00-04:00,8.866000000000001,8.4227,-0.050000000000000044,0.0
ok,,5.0,BRAI,2026-02-25,tp,2026-02-25 09:48:00-05:00,2026-02-25 09:49:00-05:00,5.7589999999999995,6.3349,0.10000000000000009,1.0
ok,,14.0,BRAI,2026-03-03,sl,2026-03-03 10:22:00-05:00,2026-03-03 10:26:00-05:00,6.71671,6.3808745,-0.050000000000000044,4.0
