symbol,date,today_close,next_open,consolidation_avg,horizon_complete_30,max_high_30,min_low_30,close_30,hit_tp2.0_30,days_to_tp2.0_30,hit_tp2.4_30,days_to_tp2.4_30,hit_tp3.0_30,days_to_tp3.0_30,hit_tp5.0_30,days_to_tp5.0_30,horizon_complete_60,max_high_60,min_low_60,close_60,hit_tp2.0_60,days_to_tp2.0_60,hit_tp2.4_60,days_to_tp2.4_60,hit_tp3.0_60,days_to_tp3.0_60,hit_tp5.0_60,days_to_tp5.0_60,horizon_complete_90,max_high_90,min_low_90,close_90,hit_tp2.0_90,days_to_tp2.0_90,hit_tp2.4_90,days_to_tp2.4_90,hit_tp3.0_90,days_to_tp3.0_90,hit_tp5.0_90,days_to_tp5.0_90,horizon_complete_180,max_high_180,min_low_180,close_180,hit_tp2.0_180,days_to_tp2.0_180,hit_tp2.4_180,days_to_tp2.4_180,hit_tp3.0_180,days_to_tp3.0_180,hit_tp5.0_180,days_to_tp5.0_180,horizon_complete_365,max_high_365,min_low_365,close_365,hit_tp2.0_365,days_to_tp2.0_365,hit_tp2.4_365,days_to_tp2.4_365,hit_tp3.0_365,days_to_tp3.0_365,hit_tp5.0_365,days_to_tp5.0_365
CGTX,2025-08-12,1.100000023841858,1.3799999952316284,0.43729999860127766,1,3.8299999237060542,1.1449999809265137,1.350000023841858,1,6.0,1,8.0,1,9.0,0,,1,3.8299999237060542,1.1449999809265137,1.690000057220459,1,6.0,1,8.0,1,9.0,0,,1,3.8299999237060542,1.1449999809265137,1.5,1,6.0,1,8.0,1,9.0,0,,1,3.8299999237060542,0.550000011920929,1.2599999904632568,1,6.0,1,8.0,1,9.0,0,,0,3.8299999237060542,0.550000011920929,1.2899999618530271,1,6,1,8,1,9.0,0,
EQ,2025-08-15,1.1399999856948853,1.1299999952316284,0.4275555537806617,1,2.3499999046325684,1.0700000524520874,1.4600000381469729,1,5.0,0,,0,,0,,1,2.3499999046325684,0.9300000071525574,0.9700000286102296,1,5.0,0,,0,,0,,1,2.3499999046325684,0.7599999904632568,1.350000023841858,1,5.0,0,,0,,0,,1,2.700000047683716,0.7599999904632568,2.069999933242798,1,5.0,1,144.0,0,,0,,0,3.450000047683716,0.7599999904632568,2.940000057220459,1,5,1,144,1,196.0,0,
HOVR,2025-05-29,1.100000023841858,1.100000023841858,0.5701666653156281,1,2.5199999809265137,0.8500000238418579,1.590000033378601,1,11.0,1,15.0,0,,0,,1,2.5199999809265137,0.8500000238418579,1.6100000143051147,1,11.0,1,15.0,0,,0,,1,3.0899999141693115,0.8500000238418579,2.9000000953674316,1,11.0,1,15.0,1,89.0,0,,1,4.179999828338623,0.8500000238418579,1.75,1,11.0,1,15.0,1,89.0,0,,0,4.179999828338623,0.8500000238418579,2.259999990463257,1,11,1,15,1,89.0,0,
LAES,2024-12-11,1.149999976158142,1.7100000381469729,0.4566555549701055,1,11.0,1.4800000190734863,3.7300000190734863,1,3.0,1,3.0,1,3.0,1,8.0,1,11.0,1.4800000190734863,2.7899999618530273,1,3.0,1,3.0,1,3.0,1,8.0,1,11.0,1.4800000190734863,2.609999895095825,1,3.0,1,3.0,1,3.0,1,8.0,1,11.0,1.4800000190734863,2.549999952316284,1,3.0,1,3.0,1,3.0,1,8.0,1,11.0,1.4800000190734863,3.4800000190734863,1,3,1,3,1,3.0,1,8.0
LXRX,2025-07-09,1.0700000524520874,1.0700000524520874,0.5978888905710644,1,1.4299999475479126,1.0,1.1299999952316284,0,,0,,0,,0,,1,1.4500000476837158,1.0,1.3799999952316284,0,,0,,0,,0,,1,1.659999966621399,1.0,1.440000057220459,0,,0,,0,,0,,1,1.830000042915344,1.0,1.6299999952316284,0,,0,,0,,0,,0,2.5299999713897705,1.0,1.909999966621399,1,210,1,211,0,,0,
MVST,2024-12-02,1.059999942779541,1.0199999809265137,0.32521111137337155,1,2.869999885559082,0.949999988079071,2.1600000858306885,1,15.0,1,17.0,0,,0,,1,2.869999885559082,0.949999988079071,1.4800000190734863,1,15.0,1,17.0,0,,0,,1,2.869999885559082,0.949999988079071,1.7000000476837158,1,15.0,1,17.0,0,,0,,1,4.71999979019165,0.949999988079071,2.7100000381469727,1,15.0,1,17.0,1,110.0,0,,1,7.119999885559082,0.949999988079071,1.2000000476837158,1,15,1,17,1,110.0,1,214.0
NAUT,2025-10-15,1.100000023841858,1.1299999952316284,0.7504888885551029,1,2.5399999618530273,0.949999988079071,2.2699999809265137,1,23.0,1,25.0,0,,0,,1,2.5399999618530273,0.949999988079071,1.9900000095367432,1,23.0,1,25.0,0,,0,,1,3.0799999237060547,0.949999988079071,2.890000104904175,1,23.0,1,25.0,1,90.0,0,,0,4.309999942779541,0.949999988079071,2.390000104904175,1,23.0,1,25.0,1,90.0,0,,0,4.309999942779541,0.949999988079071,2.390000104904175,1,23,1,25,1,90.0,0,
OCGN,2025-06-06,1.059999942779541,1.1299999952316284,0.7008666667673323,1,1.2899999618530271,0.902999997138977,1.0299999713897705,0,,0,,0,,0,,1,1.2899999618530271,0.902999997138977,1.0499999523162842,0,,0,,0,,0,,1,1.899999976158142,0.902999997138977,1.6699999570846558,0,,0,,0,,0,,1,1.9600000381469729,0.902999997138977,1.8600000143051147,0,,0,,0,,0,,0,2.7249999046325684,0.902999997138977,1.2799999713897705,1,185,1,191,0,,0,
PLBY,2024-10-31,1.1699999570846558,1.2400000095367432,0.7287555542257097,1,1.7389999628067017,0.8529999852180481,1.409999966621399,0,,0,,0,,0,,1,1.9900000095367432,0.8529999852180481,1.659999966621399,0,,0,,0,,0,,1,2.440000057220459,0.8529999852180481,1.2200000286102295,1,61.0,1,61.0,0,,0,,1,2.440000057220459,0.8529999852180481,1.8799999952316284,1,61.0,1,61.0,0,,0,,1,2.75,0.8529999852180481,1.809999942779541,1,61,1,61,0,,0,
QTEX,2025-07-02,1.0800000429153442,1.0800000429153442,0.678822221689754,1,1.649999976158142,1.0,1.2549999952316284,0,,0,,0,,0,,1,1.649999976158142,1.0,1.309999942779541,0,,0,,0,,0,,1,1.649999976158142,0.8500000238418579,0.9649999737739564,0,,0,,0,,0,,1,1.649999976158142,0.5360000133514404,0.5529999732971191,0,,0,,0,,0,,0,3.849999904632568,0.2829999923706054,1.4199999570846558,1,226,1,227,1,227.0,0,
