symbol,date,today_close,next_open,consolidation_avg,consolidation_avg_vol,horizon_complete_30,max_high_30,close_30,hit_tp1.5_30,days_to_tp1.5_30,hit_tp2.0_30,days_to_tp2.0_30,hit_tp2.4_30,days_to_tp2.4_30,hit_tp3.0_30,days_to_tp3.0_30,hit_tp5.0_30,days_to_tp5.0_30,horizon_complete_60,max_high_60,close_60,hit_tp1.5_60,days_to_tp1.5_60,hit_tp2.0_60,days_to_tp2.0_60,hit_tp2.4_60,days_to_tp2.4_60,hit_tp3.0_60,days_to_tp3.0_60,hit_tp5.0_60,days_to_tp5.0_60,horizon_complete_90,max_high_90,close_90,hit_tp1.5_90,days_to_tp1.5_90,hit_tp2.0_90,days_to_tp2.0_90,hit_tp2.4_90,days_to_tp2.4_90,hit_tp3.0_90,days_to_tp3.0_90,hit_tp5.0_90,days_to_tp5.0_90,horizon_complete_180,max_high_180,close_180,hit_tp1.5_180,days_to_tp1.5_180,hit_tp2.0_180,days_to_tp2.0_180,hit_tp2.4_180,days_to_tp2.4_180,hit_tp3.0_180,days_to_tp3.0_180,hit_tp5.0_180,days_to_tp5.0_180
AMOD,2026-01-28,1.12,1.21,0.675668888888889,2774678.7555555557,1,1.21,0.4787,0,,0,,0,,0,,0,,1,1.21,0.3278,0,,0,,0,,0,,0,,0,1.21,0.215,0,,0,,0,,0,,0,,0,1.21,0.215,0,,0,,0,,0,,0,
ANNAW,2026-03-30,1.05,1.25,0.29268442222222224,156537.48888888888,1,1.28,0.36,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,
GGRP,2024-12-10,1.14,1.15,0.6897189111111112,144634.04444444444,1,7.0,1.7,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.32,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.15,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.47,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0
FLDDW,2025-02-19,1.0601,1.25,0.4492888888888889,140891.86666666667,1,1.25,0.7101,0,,0,,0,,0,,0,,1,1.25,0.6,0,,0,,0,,0,,0,,1,1.25,0.7599,0,,0,,0,,0,,0,,1,1.25,0.305,0,,0,,0,,0,,0,
ATER,2026-04-28,1.11,1.03,0.6207678000000001,44490.75555555556,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,
AISPW,2026-06-02,1.05,1.06,0.7127222666666667,35475.64444444444,0,1.1,0.86,0,,0,,0,,0,,0,,0,1.1,0.86,0,,0,,0,,0,,0,,0,1.1,0.86,0,,0,,0,,0,,0,,0,1.1,0.86,0,,0,,0,,0,,0,
ATYR,2026-02-19,1.05,1.05,0.7829577777777778,2185472.6666666665,1,1.1,0.8469,0,,0,,0,,0,,0,,1,1.1,0.504,0,,0,,0,,0,,0,,0,1.1,0.47,0,,0,,0,,0,,0,,0,1.1,0.47,0,,0,,0,,0,,0,
AACG,2025-07-21,1.15,1.18,0.8539343333333334,14429.8,1,2.3,2.085,1,7.0,1,8.0,0,,0,,0,,1,2.5794,1.17,1,7.0,1,8.0,1,40.0,0,,0,,1,2.5794,1.21,1,7.0,1,8.0,1,40.0,0,,0,,1,2.5794,1.01,1,7.0,1,8.0,1,40.0,0,,0,
ESLA,2025-08-29,1.05,1.06,0.8880333333333336,15524.555555555555,1,1.53,1.5,1,22.0,0,,0,,0,,0,,1,3.15,1.81,1,22.0,1,35.0,1,37.0,1,45.0,0,,1,3.15,1.42,1,22.0,1,35.0,1,37.0,1,45.0,0,,1,3.15,1.14,1,22.0,1,35.0,1,37.0,1,45.0,0,
FMSTW,2025-10-24,1.07,1.15,0.4954144222222222,14198.222222222223,1,1.27,1.19,0,,0,,0,,0,,0,,1,1.27,0.868,0,,0,,0,,0,,0,,1,1.27,0.83,0,,0,,0,,0,,0,,0,1.27,0.704249,0,,0,,0,,0,,0,
