feature,winners_mean,losers_mean,diff,t_stat,p_value,top_q_winrate,bot_q_winrate,winrate_spread,bonferroni_pass,raw_pass
first_bar_close_vs_open,0.02753704792977498,0.007694479818183141,0.01984256811159184,1.8318947609664034,0.0764948658556314,0.4,0.1,0.30000000000000004,False,False
bars_since_high,2.5217391304347827,6.818181818181818,-4.296442687747035,-1.7685238932653944,0.08035838696395056,0.2,0.2328767123287671,-0.0328767123287671,False,False
price_above_vwap_pct,0.3186820886233435,0.26171532041922785,0.05696676820411567,1.5281683624490507,0.13660424716222633,0.45,0.2,0.25,False,False
return_last5,0.22615222383592998,0.16483828205010484,0.06131394178582514,1.3437403951126066,0.18948772630601754,0.4,0.25,0.15000000000000002,False,False
pre_volume,47140131.708784744,24331149.642556723,22808982.06622802,1.0994289024892372,0.2826075302646871,0.3,0.25,0.04999999999999999,False,False
pre_dollar_volume,156930703.26294044,107035237.19926919,49895466.063671246,1.091430235917807,0.28327397618387523,0.3,0.25,0.04999999999999999,False,False
vol_acceleration,5.388900545139419,7.1422060134707515,-1.753305468331332,-0.7522357929274022,0.4558318612010281,0.2,0.35,-0.14999999999999997,False,False
return_std,0.043005795268013326,0.03749478430663848,0.0055110109613748445,0.7218287908295815,0.4765368965893245,0.3,0.2,0.09999999999999998,False,False
red_ratio,0.34505641879700083,0.3682404760202917,-0.023184057223290866,-0.6710668974663978,0.5076146368637284,0.25,0.3,-0.04999999999999999,False,False
acceleration,-0.4154494528100498,-0.477547089195486,0.062097636385436195,0.6601780474753066,0.5150311923770556,0.3157894736842105,0.21052631578947367,0.10526315789473684,False,False
dvol_last5,13156430.12695833,11015965.916195583,2140464.2107627466,0.5823585837787614,0.564716497927614,0.3,0.2,0.09999999999999998,False,False
max_pullback_pct,-0.2123459793357178,-0.2018239024737898,-0.010522076861927993,-0.5640988903931464,0.5768332337648605,0.2,0.35,-0.14999999999999997,False,False
return_earlier,0.5962668299856595,0.6220988283296515,-0.02583199834399197,-0.4105969785261072,0.6847716126120871,0.2631578947368421,0.3157894736842105,-0.05263157894736842,False,False
minutes_to_trigger,147.6086956521739,137.42857142857142,10.18012422360249,0.3662110789840958,0.7166541170588829,0.35,0.35,0.0,False,False
pre_bars_count,147.6086956521739,137.42857142857142,10.18012422360249,0.3662110789840958,0.7166541170588829,0.35,0.35,0.0,False,False
pre_high_x_open,1.8717149902533843,1.886457258478392,-0.014742268225007793,-0.305447562568532,0.7623128939300711,0.3,0.2,0.09999999999999998,False,False
rth_open_price,3.8847826086956525,3.764914285714286,0.1198683229813664,0.206990581814393,0.8369122383176344,0.3,0.2,0.09999999999999998,False,False
vol_last5,2168377.205399435,2235163.4258631947,-66786.22046375973,-0.11951802360948734,0.9055083955079947,0.2,0.25,-0.04999999999999999,False,False
