date,symbol,rule,ret
2024-04-12,PRZO,30d/$1.05-$1.20/+30%/60d,-0.4403389830508474
2024-04-16,RCAT,30d/$1.05-$1.20/+10%/60d,0.08000000000000008
2024-08-23,CLPS,30d/$1.05-$1.20/+10%/30d,0.08000000000000008
2024-08-23,EQ,30d/$1.05-$1.20/+10%/30d,0.08000000000000008
2024-09-09,NRSN,30d/$1.05-$1.20/+10%/30d,0.08000000000000008
2024-09-13,GEVO,30d/$1.05-$1.20/+10%/30d,0.08000000000000008
2024-09-20,GOSS,30d/$1.05-$1.20/+10%/30d,-0.23288288288288292
2024-10-07,SKYX,30d/$1.10-$1.30/+10%/30d,0.08000000000000008
2024-10-16,EQ,30d/$1.10-$1.30/+10%/30d,0.08000000000000008
2024-10-18,RGTI,30d/$1.10-$1.30/+10%/30d,0.08000000000000008
2024-10-21,QUBT,30d/$1.10-$1.30/+10%/30d,0.08000000000000008
2024-10-23,AMPG,30d/$1.10-$1.30/+10%/30d,0.08000000000000008
2024-10-31,PLBY,30d/$1.10-$1.30/+10%/30d,0.08000000000000008
2024-11-12,GRNQ,30d/$1.10-$1.30/+10%/30d,0.08000000000000008
2024-11-15,ZTEK,30d/$1.10-$1.30/+10%/30d,-0.29692307692307696
2024-12-02,MVST,45d/$1.05-$1.20/+20%/60d,0.17999999999999997
2024-12-02,ONMD,45d/$1.05-$1.20/+20%/60d,0.17999999999999997
2024-12-04,TRON,45d/$1.05-$1.20/+20%/60d,0.17999999999999997
2024-12-10,GGRP,45d/$1.05-$1.20/+20%/60d,0.17999999999999997
2024-12-11,LAES,45d/$1.05-$1.20/+20%/60d,0.17999999999999997
2024-12-11,ONDS,45d/$1.05-$1.20/+20%/60d,0.17999999999999997
2025-02-03,IVVD,45d/$1.05-$1.20/+20%/60d,0.17999999999999997
2025-02-07,LUCD,45d/$1.05-$1.15/+50%/90d,0.48
2025-02-27,TLSA,45d/$1.05-$1.15/+50%/60d,0.48
2025-03-31,ABVC,45d/$1.05-$1.15/+50%/60d,0.48
2025-04-10,MRM,30d/$1.10-$1.30/+50%/90d,0.48
2025-04-16,AREC,30d/$1.10-$1.30/+50%/90d,0.48
2025-04-29,PMEC,30d/$1.05-$1.20/+50%/90d,0.48
2025-05-08,CTMX,30d/$1.05-$1.20/+50%/90d,0.48
2025-05-08,JBDI,30d/$1.05-$1.20/+50%/90d,0.48
2025-05-22,NBP,30d/$1.05-$1.20/+50%/90d,0.48
2025-05-28,ONDS,30d/$1.05-$1.20/+50%/90d,0.48
2025-06-06,OCGN,30d/$1.05-$1.20/+50%/90d,0.48
2025-06-06,PRZO,30d/$1.05-$1.20/+50%/90d,0.48
2025-06-12,TRON,30d/$1.05-$1.20/+50%/90d,0.48
2025-06-17,AERT,30d/$1.05-$1.20/+50%/90d,-0.5660000000000001
2025-06-17,CNTB,30d/$1.05-$1.20/+50%/90d,0.48
2025-07-02,QTEX,30d/$1.05-$1.15/+50%/90d,0.48
2025-07-09,LXRX,30d/$1.05-$1.15/+50%/90d,0.48
2025-07-10,AREC,30d/$1.05-$1.15/+50%/90d,0.48
2025-07-10,HIT,30d/$1.05-$1.15/+50%/90d,0.48
2025-07-10,SLNH,30d/$1.05-$1.15/+50%/90d,0.48
2025-07-23,BFRI,30d/$1.05-$1.15/+50%/90d,-0.26361111111111124
2025-08-11,YTRA,30d/$1.05-$1.15/+50%/90d,0.48
2025-08-12,CGTX,30d/$1.05-$1.15/+50%/90d,0.48
2025-08-12,TRIB,30d/$1.05-$1.15/+50%/90d,0.48
2025-08-13,IRWD,30d/$1.05-$1.15/+50%/90d,0.48
2025-08-15,EQ,30d/$1.05-$1.15/+50%/90d,0.48
2025-08-20,PRLD,30d/$1.05-$1.15/+50%/90d,0.48
2025-08-29,ESLA,30d/$1.05-$1.15/+50%/90d,0.48
2025-08-29,LSH,30d/$1.05-$1.15/+50%/90d,0.48
2025-08-29,RLMD,30d/$1.05-$1.15/+50%/90d,0.48
2025-09-02,CCG,30d/$1.05-$1.15/+50%/90d,-0.27205357142857156
2025-09-19,SLNH,30d/$1.05-$1.15/+50%/90d,0.48
2025-09-22,COSM,30d/$1.05-$1.15/+50%/90d,-0.5948672566371681
2025-09-25,NUAI,45d/$1.20-$1.50/+30%/60d,0.28
2025-10-17,ABVWF,45d/$1.20-$1.50/+30%/60d,0.28
2026-01-21,LSH,30d/$1.20-$1.50/+15%/30d,0.12999999999999992
2026-01-30,ORKT,30d/$1.20-$1.50/+15%/30d,0.12999999999999992
2026-02-09,CCHH,30d/$1.20-$1.50/+15%/30d,0.12999999999999992
2026-02-10,HURA,30d/$1.20-$1.50/+15%/30d,0.12999999999999992
2026-02-25,XWEL,30d/$1.20-$1.50/+15%/30d,0.12999999999999992
2026-03-19,LGVN,60d/$1.10-$1.30/+30%/30d,-0.23203703703703712
2026-05-12,BZFD,30d/$1.20-$1.50/+15%/30d,0.12999999999999992
2026-05-13,QUCY,30d/$1.20-$1.50/+15%/30d,0.12999999999999992
2026-05-15,HCWB,45d/$1.20-$1.50/+50%/30d,0.48
2026-05-27,RKTO,45d/$1.20-$1.50/+50%/30d,-0.2724752475247525
2026-06-01,NTCL,60d/$1.20-$1.50/+50%/30d,0.48
2026-06-01,TGHL,60d/$1.20-$1.50/+50%/30d,-0.4016455042840922
