symbol,date,next_open,tp_price,tp_hit,days_to_tp,horizon_complete,ret_at_horizon_or_tp,current_max_high,current_close,current_ret
HURA,2026-02-10,1.48,1.776,1,11.0,0,0.17999999999999997,3.43,1.965,0.32770270270270285
BZFD,2026-05-12,1.33,1.596,1,6.0,0,0.17999999999999997,2.21,1.39,0.045112781954887105
AMPGR,2026-06-04,1.45,1.74,0,,0,-0.4751724137931034,1.45,0.79,-0.45517241379310336
AMPGZ,2026-06-04,1.35,1.62,0,,0,-0.3014814814814816,1.35,0.97,-0.28148148148148155
CCHH,2026-02-09,0.9715,1.1658,1,1.0,0,0.17999999999999997,1.79,0.3702,-0.6189397838394236
HCWB,2026-05-15,1.15,1.38,1,1.0,0,0.17999999999999997,3.99,1.63,0.4173913043478261
XWEL,2026-02-25,1.09,1.308,1,1.0,0,0.17999999999999997,2.2,1.36,0.2477064220183487
TGHL,2026-06-01,0.9687,1.16244,1,1.0,0,0.17999999999999997,1.18,0.599,-0.38164550428409216
RKTO,2026-05-27,2.02,2.424,1,4.0,0,0.17999999999999997,2.45,1.51,-0.2524752475247525
SOBR,2026-05-05,1.34,1.608,1,2.0,0,0.17999999999999997,2.3498,1.02,-0.23880597014925375
NTCL,2026-06-01,1.2,1.44,1,1.0,0,0.17999999999999997,2.5,2.13,0.7749999999999999
OLB,2026-02-17,1.05,1.26,0,,0,-0.5943809523809525,1.24,0.4469,-0.5743809523809524
ORKT,2026-01-30,1.15,1.38,1,1.0,0,0.17999999999999997,1.61,1.1696,0.017043478260869716
QUCY,2026-05-13,1.9,2.28,1,1.0,0,0.17999999999999997,4.93,2.195,0.15526315789473677
LSH,2026-01-21,1.13,1.3559999999999999,1,4.0,1,0.17999999999999997,1.375,0.587,-0.48053097345132745
