tp,sl,n_all,mean_all,winrate_all,n_clean,mean_clean,winrate_clean
0.05,0.03,27,-0.012222222222222223,0.2222222222222222,6,-0.03,0.0
0.05,0.05,27,-0.005555555555555554,0.4444444444444444,6,-0.03333333333333333,0.16666666666666666
0.05,0.07,27,-0.012699611524260588,0.48148148148148145,6,-0.03000000000000001,0.3333333333333333
0.05,0.1,27,0.011111111111111112,0.7407407407407407,6,-0.025000000000000005,0.5
0.05,0.15,27,0.035185185185185194,0.9259259259259259,6,-0.01666666666666667,0.6666666666666666
0.07,0.03,27,-0.007777777777777774,0.2222222222222222,6,-0.03,0.0
0.07,0.05,27,-0.0011111111111111105,0.4074074074074074,6,-0.049999999999999996,0.0
0.07,0.07,27,-0.00825516707981614,0.4444444444444444,6,-0.04666666666666667,0.16666666666666666
0.07,0.1,27,0.03395197570265024,0.7037037037037037,6,-0.043333333333333335,0.3333333333333333
0.07,0.15,27,0.059877901628576174,0.8888888888888888,6,-0.03999999999999999,0.5
0.1,0.03,27,-0.001111111111111109,0.2222222222222222,6,-0.03,0.0
0.1,0.05,27,0.011111111111111113,0.4074074074074074,6,-0.049999999999999996,0.0
0.1,0.07,27,-0.0012181300427791077,0.4074074074074074,6,-0.07,0.0
0.1,0.1,27,0.0462349056491316,0.6666666666666666,6,-0.06666666666666667,0.16666666666666666
0.1,0.15,27,0.08512379453802049,0.8888888888888888,6,-0.024999999999999994,0.5
0.15,0.03,27,0.015083508582379916,0.2222222222222222,6,-0.03,0.0
0.15,0.05,27,0.048233131525058114,0.4074074074074074,6,-0.049999999999999996,0.0
0.15,0.07,27,0.0359038903711679,0.4074074074074074,6,-0.07,0.0
0.15,0.1,27,0.0911157104885297,0.6296296296296297,6,-0.09999999999999999,0.0
0.15,0.15,27,0.13926385863667784,0.8518518518518519,6,-0.04999999999999999,0.3333333333333333
0.2,0.03,27,0.013107336606207942,0.14814814814814814,6,-0.03,0.0
0.2,0.05,27,0.06431249689464441,0.37037037037037035,6,-0.049999999999999996,0.0
0.2,0.07,27,0.05124251500001345,0.37037037037037035,6,-0.07,0.0
0.2,0.1,27,0.11749817070949745,0.5925925925925926,6,-0.09999999999999999,0.0
0.2,0.15,27,0.17412486575922126,0.8148148148148148,6,-0.03333333333333332,0.3333333333333333
0.3,0.03,27,0.028701443799483015,0.14814814814814814,6,-0.03,0.0
0.3,0.05,27,0.07012480940889514,0.2962962962962963,6,-0.049999999999999996,0.0
0.3,0.07,27,0.06467930180540514,0.3333333333333333,6,-0.07,0.0
0.3,0.1,27,0.14308147349772224,0.5555555555555556,6,-0.09999999999999999,0.0
0.3,0.15,27,0.21735935516414992,0.7777777777777778,6,-0.020569660224832625,0.3333333333333333
0.5,0.03,27,0.05329413227479,0.14814814814814814,6,-0.03,0.0
0.5,0.05,27,0.12226403362564374,0.2962962962962963,6,-0.049999999999999996,0.0
0.5,0.07,27,0.12422593342956115,0.3333333333333333,6,-0.07,0.0
0.5,0.1,27,0.24313418645122434,0.5555555555555556,6,-0.09999999999999999,0.0
0.5,0.15,27,0.330375031080615,0.7407407407407407,6,-0.09556966022483264,0.16666666666666666
