symbol,date,open,high,low,close,high_x_open,low_x_open,close_x_open,dollar_vol,minute_cached
CLNN,2024-06-07,7.0,9.199999809265137,6.800000190734863,7.400000095367432,1.3142856870378767,0.9714285986764091,1.057142870766776,511007.006585598,False
CCLD,2024-06-24,1.600000023841858,2.109999895095825,1.600000023841858,1.8849999904632568,1.3187499147839856,1.0,1.1781249764841053,525537.997341156,False
SERV,2024-07-05,2.0999999046325684,2.7799999713897705,2.0999999046325684,2.430000066757202,1.323809570303852,1.0,1.157142941481406,4372056.120109558,False
RZLV,2024-08-01,8.3100004196167,11.630000114440918,8.3100004196167,10.449999809265137,1.399518595328465,1.0,1.2575209725136387,1107699.9797821045,False
CING,2024-08-12,2.109999895095825,3.4000000953674316,2.109999895095825,2.8499999046325684,1.6113745328944773,1.0,1.350710922430229,1260269.9578285217,False
SIDU,2024-08-19,2.7100000381469727,5.010000228881836,2.625,3.809999942779541,1.8487085455200005,0.9686346727119999,1.4059040181359996,36820982.44700432,False
WALD,2024-08-28,3.380000114440918,4.739999771118164,2.700000047683716,3.059999942779541,1.4023667487071083,0.7988165551084071,0.90532539620511,20075435.624599457,False
PSIG,2024-09-11,7.495999813079834,10.079999923706056,6.960000038146973,8.720000267028809,1.34471720585123,0.9284952256805569,1.163287151076659,652474.0199804306,False
GXAI,2024-09-20,2.3949999809265137,4.449999809265137,2.2799999713897705,2.4200000762939453,1.8580375134465092,0.9519832941742843,1.0104384532636865,90845350.86402893,False
PDYN,2024-10-08,1.8799999952316284,3.049999952316284,1.8739999532699585,2.75,1.6223404042830882,0.9968084883101659,1.462765961156921,58773000.0,False
ALVO,2024-10-17,9.149999618530272,12.4399995803833,9.149999618530272,12.399999618530272,1.359562852351407,1.0,1.355191271638767,553039.9829864501,False
PRCH,2024-10-28,1.559999942779541,2.4560000896453857,1.4500000476837158,2.180000066757202,1.5743590895711124,0.929487244147053,1.3974359914866223,51027697.56259918,False
CD,2024-11-11,1.5,2.640000104904175,1.5,2.3399999141693115,1.7600000699361165,1.0,1.559999942779541,32947432.791495323,False
SPPL,2024-11-15,9.920000076293944,14.239999771118164,8.5600004196167,10.15999984741211,1.4354838368547824,0.8629032614700006,1.0241935251282608,210425280.8397293,False
VUZI,2024-11-22,1.2799999713897705,1.7200000286102295,1.2699999809265137,1.7100000381469729,1.343750052386896,0.9921875072759577,1.335937559662854,9014949.201107027,False
MDAI,2024-11-29,1.5199999809265137,2.3499999046325684,1.4119999408721924,1.919999957084656,1.5460525882376193,0.9289473411779321,1.2631578823536056,19068095.573794845,False
MVST,2024-12-04,1.440000057220459,1.950000047683716,1.2300000190734863,1.2899999618530271,1.3541666459706105,0.8541666459706103,0.895833271245164,66094825.04549025,False
RMSG,2024-12-11,1.7400000095367432,2.380000114440918,1.690999984741211,2.0999999046325684,1.3678161502278199,0.9718390663638111,1.206896490300406,546629.9751758575,False
