symbol,date,daily_open,daily_high,daily_low,daily_close,daily_high_x_open,daily_close_x_open,previous_realistic_outcome,previous_realistic_return,status,exit_reason,entry_time,exit_time,entry_price,exit_price,minute_return,bars_held,rth_open,rth_high,rth_close
QUBT,2024-11-13,1.440000057220459,3.4200000762939453,1.409999966621399,2.6600000858306885,2.374999958607887,1.8472222084248513,sl_hit,-0.05,ok,tp,2024-11-13 13:57:00-05:00,2024-11-13 14:01:00-05:00,2.88,3.168,0.10000000000000009,4.0,,,
SIDU,2024-12-16,2.240000009536743,6.840000152587891,2.049999952316284,4.579999923706055,3.0535714836905195,2.044642814378045,tp_pulled_back,0.1,ok,tp,2024-12-16 13:39:00-05:00,2024-12-16 13:42:00-05:00,4.48,4.928000000000001,0.10000000000000009,3.0,,,
QUCY,2026-05-14,1.899999976158142,3.9700000286102295,1.6299999952316284,3.0,2.0894737254879816,1.5789473882342313,sl_hit,-0.05,ok,sl,2026-05-14 10:37:00-04:00,2026-05-14 10:37:00-04:00,3.8,3.61,-0.04999999999999993,0.0,,,
QUCY,2026-05-15,2.4609999656677246,4.929999828338623,2.4600000381469727,3.4600000381469727,2.0032506692867846,1.4059325828589342,sl_hit,-0.05,ok,sl,2026-05-15 10:36:00-04:00,2026-05-15 10:37:00-04:00,4.922,4.6758999999999995,-0.050000000000000044,1.0,,,
AIIO,2026-05-14,4.385000228881836,9.199999809265137,3.259999990463257,5.639999866485596,2.098061420537511,1.286202867068899,sl_hit,-0.05,ok,sl,2026-05-14 13:15:00-04:00,2026-05-14 13:15:00-04:00,8.77,8.331499999999998,-0.050000000000000155,0.0,,,
LASE,2024-10-08,4.159999847412109,9.420000076293944,4.159999847412109,7.929999828338623,2.2644231783215143,1.90625002865608,close_red_no_sl,-0.04687498567196,ok,tp,2024-10-08 13:58:00-04:00,2024-10-08 14:54:00-04:00,8.32,9.152000000000001,0.10000000000000009,56.0,,,
LASE,2026-06-02,1.2050000429153442,2.4700000286102295,1.0800000429153442,2.4200000762939453,2.049792481861145,2.0082987469768576,close_green,0.0041493734884288,ok,sl,2026-06-02 14:44:00-04:00,2026-06-02 14:45:00-04:00,2.41,2.2895,-0.050000000000000155,1.0,,,
HCWB,2026-05-20,1.0399999618530271,3.990000009536743,1.0299999713897705,2.430000066757202,3.836538611431805,2.336538611431805,tp_held,0.1,ok,sl,2026-05-20 10:12:00-04:00,2026-05-20 10:12:00-04:00,2.08,1.976,-0.050000000000000044,0.0,,,
AEHL,2025-11-24,7.860000133514404,18.0,7.860000133514404,15.18000030517578,2.2900762969773316,1.931297715943984,close_red_no_sl,-0.034351142028008,ok,sl,2025-11-24 11:22:00-05:00,2025-11-24 11:22:00-05:00,15.72,14.934,-0.050000000000000044,0.0,,,
AEHL,2026-02-26,4.440000057220459,10.4399995803833,3.839999914169311,6.480000019073486,2.3513512265400687,1.4594594449465197,sl_hit,-0.05,ok,sl,2026-02-26 12:22:00-05:00,2026-02-26 12:22:00-05:00,8.8332,8.391539999999999,-0.050000000000000044,0.0,,,
AEHL,2026-05-12,1.2300000190734863,2.5299999713897705,1.2200000286102295,2.109999895095825,2.0569105139490373,1.715447042582333,sl_hit,-0.05,ok,sl,2026-05-12 11:32:00-04:00,2026-05-12 11:32:00-04:00,2.45,2.3275,-0.050000000000000044,0.0,,,
SERV,2024-07-19,4.269999980926514,8.970000267028809,3.9200000762939458,7.550000190734863,2.100702648031975,1.7681499354706434,sl_hit,-0.05,ok,sl,2024-07-19 13:24:00-04:00,2024-07-19 13:56:00-04:00,8.54,8.113,-0.04999999999999993,32.0,,,
MASK,2026-03-31,1.6299999952316284,3.319999933242798,1.6100000143051147,2.2699999809265137,2.036809780954026,1.392638029182288,sl_hit,-0.05,ok,sl,2026-03-31 11:28:00-04:00,2026-03-31 11:28:00-04:00,3.26,3.0969999999999995,-0.050000000000000044,0.0,,,
MASK,2026-05-28,1.8650000095367432,6.730000019073486,1.725000023841858,4.130000114440918,3.608579080246324,2.214477261834862,tp_held,0.1,ok,sl,2026-05-28 10:45:00-04:00,2026-05-28 10:45:00-04:00,3.73,3.5435,-0.050000000000000044,0.0,,,
SBET,2024-12-06,6.239999771118164,13.4399995803833,6.119999885559082,11.279999732971191,2.1538461656024945,1.8076923312049888,sl_hit,-0.05,ok,sl,2024-12-06 12:58:00-05:00,2024-12-06 12:58:00-05:00,12.576,11.9472,-0.050000000000000044,0.0,,,
XOS,2025-02-20,4.429999828338623,9.149999618530272,4.239999771118164,6.25,2.0654627478759484,1.4108352691164616,sl_hit,-0.05,ok,sl,2025-02-20 10:46:00-05:00,2025-02-20 10:46:00-05:00,8.86,8.417,-0.04999999999999993,0.0,,,
NUAI,2025-10-09,1.559999942779541,3.180000066757202,1.5499999523162842,2.8299999237060547,2.038461656024945,1.814102581737075,sl_hit,-0.05,ok,sl,2025-10-09 14:02:00-04:00,2025-10-09 14:02:00-04:00,3.12,2.964,-0.050000000000000044,0.0,,,
MOBX,2026-03-03,4.579999923706055,12.399999618530272,3.849999904632568,11.199999809265137,2.7074235425961346,2.445414846252289,tp_held,0.1,ok,tp,2026-03-03 14:45:00-05:00,2026-03-03 14:57:00-05:00,9.156,10.071600000000002,0.10000000000000009,12.0,,,
